Title;Abstract;StoreId;ArticleType;AuthorAffiliation;Authors;coden;companies;copyright;digitalObjectIdentifier;documentType;elecPubDate;entryDate;isbn;issn;issue;language;languageOfSummary;pages;placeOfPublication;pubdate;pubtitle;year;volume;DocumentURL;classification;classificationCodes;documentFeatures;majorClassificationCodes;notes;startPage;subjectClassifications;subjectTerms;subjects;FindACopy;Database
Investigating the relationship between learning style and game type in the game-based learning environment;The game-based learning, which uses computer games to improve performance and learning, is a new field which can be used as a powerful educational tool. To increase the effectiveness of educational games, new games fit the learning styles of each individual can be made to have a customized learning environment. Currently, playing computer games have become far more widespread among Iranian youth and teenagers who are mostly students. Accordingly, this study investigated the relationship between the Felder-Silverman learning styles model (FSLSM) and four types of games. To this end, the research data were collected from 121 students at the universities in Qom province. Then the results are analyzed using Pearson’s chi-squared test and Crosstab. Three of seven hypotheses (the relationship between visual learning style and simulation game, sequential learning style and puzzle game, sensing learning style and casual game) were confirmed which can be the guide to design games in the environment of game-based learning more effectively.;2193417831;Scholarly Journals; Faculty of Management & Accounting, College of Farabi, University of Tehran, Qom, Iran , Faculty of Management & Accounting, College of Farabi, University of Tehran, Qom, Iran;"Jafari, Seyed Mohammadbagher;Abdollahzade, Zahra";;; Education and Information Technologies is a copyright of Springer, (2019). All Rights Reserved.; 10.1007/s10639-019-09898-z; Journal Article; 2019-03-18; Sep 2019;;1360-2357;5; English; English; 2841-2862; New York;Sep 2019;Education and Information Technologies;2019;24;https://search.proquest.com/docview/2193417831?accountid=11774;;;;; 2019-03-11 (Registration) , 2019-01-30 (Received) , 2019-03-11 (Accepted); 2841;; Computer & video games , Cognitive style , School environment; Felder-Silverman learning styles (FSLSM) , Types of games, game-based learning , Gamify education , Customization;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Investigating+the+relationship+between+learning+style+and+game+type+in+the+game-based+learning+environment&amp;title=Education+and+Information+Technologies&amp;issn=13602357&amp;date=2019-09-01&amp;volume=24&amp;issue=5&amp;spage=2841&amp;au=Jafari%2C+Seyed+Mohammadbagher%3BAbdollahzade%2C+Zahra&amp;isbn=&amp;jtitle=Education+and+Information+Technologies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs10639-019-09898-z";ProQuest Central,Social Science Premium Collection
Effects of B-learning and F2F on college students’ engagement and retention in QBASIC programming;Achieving learner engagement in the teaching and learning process is paramount towards ensuring knowledge retention in QBASIC programming. This study focuses on effects of b-learning and face-to-face (F2F) on college students’ engagement and retention in QBASIC programming. The study adopted quasi-experimental design with non-equivalent group research design. QBASIC Programming Achievement Test (QBPAT) and College Students’ Engagement Questionnaire (CSEQ) were instruments used for data collection. Results showed that the treatment groups’ retention mean score was significantly higher than the control group. Findings further showed that b-learning facilitated college students’ engagement and improved knowledge retention in QBASIC programming compared to their counterparts in the F2F group. It was recommended that faculty members should adopt innovative teaching pedagogies such as b-learning to promote students’ engagement and retention in the learning process.;2187118678;Scholarly Journals; Department of Computer & Robotics Education, Faculty of Vocational & Technical Education, University of Nigeria, Nsukka, Enugu State, Nigeria , Department of Business Education, Faculty of Vocational and Technical Education, University of Nigeria, Nsukka, Enugu State, Nigeria , Department of Computer & Robotics Education, Faculty of Vocational & Technical Education, University of Nigeria, Nsukka, Enugu State, Nigeria;"Chijioke, Jonathan Olelewe;Agomuo, Emmanuel E;Peter Uzochukwu Obichukwu";;; Education and Information Technologies is a copyright of Springer, (2019). All Rights Reserved.; 10.1007/s10639-019-09882-7; Journal Article; 2019-03-01; Sep 2019;;1360-2357;5; English; English; 2701-2726; New York;Sep 2019;Education and Information Technologies;2019;24;https://search.proquest.com/docview/2187118678?accountid=11774;;;;; 2019-02-06 (Registration) , 2018-09-27 (Received) , 2019-02-06 (Accepted); 2701;; College students , Retention , Achievement tests , Computer programming , Learning; QBASIC programming , Pedagogical issues , Active learning strategies , Interactive learning environments , Improving classroom teaching;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Effects+of+B-learning+and+F2F+on+college+students%26rsquo%3B+engagement+and+retention+in+QBASIC+programming&amp;title=Education+and+Information+Technologies&amp;issn=13602357&amp;date=2019-09-01&amp;volume=24&amp;issue=5&amp;spage=2701&amp;au=Chijioke%2C+Jonathan+Olelewe%3BAgomuo%2C+Emmanuel+E%3BPeter+Uzochukwu+Obichukwu&amp;isbn=&amp;jtitle=Education+and+Information+Technologies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs10639-019-09882-7";ProQuest Central,Social Science Premium Collection
Four Strategies for Driving a University Pre-College Computing Outreach Program;A public university's computing outreach program focused on four key strategies for increasing the depth and breadth of science, technology, engineering, and mathematics (STEM) education. This paper describes the development and implementation of a project management hands-on learning laboratory activity within the context of the university's outreach strategies. The first two strategies, establishing relationships with the primary and secondary (K-12) level partner schools and implementing whole-grade participation, have led to repeat visits by students over several years. The third strategy, hands-on learning laboratory activities, has successfully engaged K-12 students, as indicated by the assessment results that provide evidence of successful student learning. The fourth strategy, producer-consumer collaborations, has facilitated the efficient matching of faculty expertise with K-12 teacher needs. The results include the evidence that outreach strategies can have a positive influence on student engagement in STEM education at multiple points in the K-12 education experience.;2291512131;Scholarly Journals; Computer Science Department University of Alabama in Huntsville Huntsville, AL 35899, USA;"Landry, Jeffrey P;Barnett, Harvey L;Chapman, Debra L;McCullough, Rosalind";;" Bureau of Labor Statistics
921110
923110 , College Board-US
813410"; Copyright EDSIG Summer 2019;; Journal Article;; Summer 2019;;1055-3096;3; English; English; 191-201; West Lafayette;Summer 2019;Journal of Information Systems Education;2019;30;https://search.proquest.com/docview/2291512131?accountid=11774;;;;;; 191;; Laboratories , Enrollments , Technology education , Software , Computation , Project management , Computer science , Learning , Field trips , Science education , Project management , Mathematics education , STEM education , Outreach services , Technical education , Critical path , Secondary schools , Information technology , Learning , Shortages , Aquariums , Students , United States--US;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Four+Strategies+for+Driving+a+University+Pre-College+Computing+Outreach+Program&amp;title=Journal+of+Information+Systems+Education&amp;issn=10553096&amp;date=2019-07-01&amp;volume=30&amp;issue=3&amp;spage=191&amp;au=Landry%2C+Jeffrey+P%3BBarnett%2C+Harvey+L%3BChapman%2C+Debra+L%3BMcCullough%2C+Rosalind&amp;isbn=&amp;jtitle=Journal+of+Information+Systems+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
How Does Competition Help Future Learning in Serious Games? An Exploratory Study in Learning Search Engine Optimization;"Serious games, many of which are multi-player games, have been commonly used in information technology education and training. Competition can be intuitively associated with games; however, it is not always considered as a necessary attribute of serious games. Particularly, the learning impact results of competition are mixed. Challenge and control are two game attributes that are highly relevant to competition. With the use of a multi-player serious game, SEO War, this study aims to explore the relationships among competition, perceived control, perceived challenge, and self-efficacy in a game-based learning environment. Particularly, it investigates whether competition leads to self-efficacy. It also examines whether perceived challenge and perceived control mediate the relationship between competition and self-efficacy in serious games. This study contributes to the expanding literature on selecting important attributes for serious games, and it advances our understanding of the mechanism of how competition leads to self-efficacy. Moreover, it will help game designers decide on important game attributes through which games can be enhanced.";2291510656;Scholarly Journals; Faculty of Business and Economics The University of Hong Kong , Department of Computing The Hong Kong Polytechnic University , Faculty of Business and Economics The University of Hong Kong;"Lee, Philip T Y;Lui, Richard W C;Chau, Michael";;; Copyright EDSIG Summer 2019;; Journal Article;; Summer 2019;;1055-3096;3; English; English; 167-177; West Lafayette;Summer 2019;Journal of Information Systems Education;2019;30;https://search.proquest.com/docview/2291510656?accountid=11774;;;;;; 167;; Computers , Students , Perceptions , Games , Learning , Competition , Marketing , Hypotheses , Studies , School environment , Optimization , Effectiveness , Researchers , Educational technology , Research & development--R&D , Search engines , Information technology , Games , Software engineering , Education , Skills , Designers , Competition;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=How+Does+Competition+Help+Future+Learning+in+Serious+Games%3F+An+Exploratory+Study+in+Learning+Search+Engine+Optimization&amp;title=Journal+of+Information+Systems+Education&amp;issn=10553096&amp;date=2019-07-01&amp;volume=30&amp;issue=3&amp;spage=167&amp;au=Lee%2C+Philip+T+Y%3BLui%2C+Richard+W+C%3BChau%2C+Michael&amp;isbn=&amp;jtitle=Journal+of+Information+Systems+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Co-Designing of a Mobile Educational Tool for Innovative Teaching and Learning at the College of Business Education, Tanzania;Mobile technologies are increasingly becoming tools for enhancing access and smooth sharing of information, products, and services. In this realization, this study used a design science research users’ participatory approach to co-design a mobile application prototype known as CBE Mobile Educational Tool (CBEMET) to enable lecturers of the College of Business Education (CBE) in Tanzania to share educational materials. The co-design of the prototype involved 3 researchers, one application developer and 25 lecturers of CBE. The testing of the CBEMET prototype shows that downloading and uploading of education resources to the system is adequate. The results also indicate that the prototype enables the access of uniform departmental-related materials by lecturers of the same department at different locations and, in so doing, it increases the quality of teaching and learning at the college. Furthermore, the testing of the prototype revealed that the design meets the requirements of the lecturers and has brought a significant change in their teaching and learning practices. The impact of the study is that it sets a groundwork for future studies involving lecturers in higher education and developers in co-designing and co-developing mobile education tools for innovative teaching and learning in Tanzania and in other emerging economies.;2275066060;Scholarly Journals;;"Godfrey Isaac MWANDOSYA;Calkin SUERO MONTERO;MBISE, Esther- Rosinner";;; Copyright Sakarya University 2019;; Journal Article;; 2019;;;3; English; English;; Adapazari;2019;TOJET : The Turkish Online Journal of Educational Technology;2019;18;https://search.proquest.com/docview/2275066060?accountid=11774;;;;;; n/a;; Co-design , Educational materials , Learning , Prototypes , Applications programs , Education , Business education , Higher education , Research design , Tools , Mobile computing , Prototypes , Teaching , Learning , Educational technology , Tanzania;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Co-Designing+of+a+Mobile+Educational+Tool+for+Innovative+Teaching+and+Learning+at+the+College+of+Business+Education%2C+Tanzania&amp;title=TOJET+%3A+The+Turkish+Online+Journal+of+Educational+Technology&amp;issn=&amp;date=2019-07-01&amp;volume=18&amp;issue=3&amp;spage=&amp;au=Godfrey+Isaac+MWANDOSYA%3BCalkin+SUERO+MONTERO%3BMBISE%2C+Esther-+Rosinner&amp;isbn=&amp;jtitle=TOJET+%3A+The+Turkish+Online+Journal+of+Educational+Technology&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Gamification in Management Education: A Systematic Literature Review;Quality of teaching is increasingly important for the success of educational institutions. In this context, gamification is a tool often used to improve the teaching-learning process by helping both teachers and students reach their goals in the short, medium and long term. Given the importance of the topic both in academia and society, this article presents a systematic review of the literature on the use of gamification as a tool to enhance the quality of the teaching process in general, and, in particular, the teaching of management. The study searches the most relevant literature on the application of gamification to educational contexts and describes gamification's main themes and constructs based on a systematic literature review of scholarly articles available in ISI Web of Science and Scopus databases. One of the main results of this study is to describe theoretical approaches to gamification and provide a conceptual model that gathers the contribution of various studies and paves the way for future research.;2271748168;Scholarly Journals; Universidade de Trás-os-Montes e Alto Douro, Vila Real, Portugal , Universidade da Beira Interior, Covilha, Portugal , Universidade de Trás-os-Montes e Alto Douro, Vila Real, Portugal;"da Silva, Rui Jorge Rodrigues;Rodrigues, Ricardo Gouveia;Leal, Carmem Teresa Pereira";;; © 2019. This work is published under https://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.1590/1807-7692bar2019180103; Journal Article;; Apr-Jun 2019;;;2; English; English; 1-31; Rio de Janeiro;Apr-Jun 2019;Brazilian Administration Review;2019;16;https://search.proquest.com/docview/2271748168?accountid=11774;;;;;; 1;; Research , Cooperative learning , Higher education , Motivation , Students , Classrooms , Teaching methods , Technology adoption , Gamification , Studies , Interactive learning , Knowledge management , Educational technology , Literature reviews , Operations management , Tourism , Games , Teachers , Quality , Systematic review , Databases , Management development programmes , Learning , Systematic review , Teaching , Conceptual models , Teachers , Literature reviews;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Gamification+in+Management+Education%3A+A+Systematic+Literature+Review&amp;title=Brazilian+Administration+Review&amp;issn=&amp;date=2019-04-01&amp;volume=16&amp;issue=2&amp;spage=1&amp;au=da+Silva%2C+Rui+Jorge+Rodrigues%3BRodrigues%2C+Ricardo+Gouveia%3BLeal%2C+Carmem+Teresa+Pereira&amp;isbn=&amp;jtitle=Brazilian+Administration+Review&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1590%2F1807-7692bar2019180103";ProQuest Central,Social Science Premium Collection
How systematic reviews cover practitioners' issues: A study on Stack Exchange communities;"Context: One of the goals of Evidence-Based Software Engineering is to leverage evidence from research to practice. However, some studies suggest this goal has not being fully accomplished. Objective: This paper proposes a strategy to assess how systematic reviews cover practitioners' issues in software engineering. Method: We selected 24 systematic reviews identified by a comprehensive tertiary study. Using search strings of the selected systematic reviews, we queried most relevant practitioners' issues on five active Stack Exchange communities, a professional and high-quality Question &amp; Answer platform. After examining more than 1,800 issues, we investigated how findings of the selected systematic reviews could help to solve (i.e. cover) practitioners' issues. Results: After excluding false positives and duplicates, a total of 424 issues were considered related to the selected systematic reviews. This number corresponds to 1.75% of the 26,687 most relevant issues on the five Stack Exchange communities. Among these 424 issues, systematic reviews can successfully cover 14.1% (60) of them. Based on a qualitative analysis, we identified 45 recurrent issues spread in many software engineering areas. The most demanded topic is related to agile software development, with 15 recurrent issues identified and 127 practitioners' issues as a whole. Conclusions: An overall coverage rate of 14.1% reveals a good opportunity for conducting systematic reviews in software engineering to fill the gap of not covered issues. We also observed practitioners explicitly demanding for scientific empirical evidence, rich in context and oriented to specific target audiences. Finally, we also provided guidelines for researchers who want to conduct systematic reviews more connected with software engineering practice.";2195775316;Scholarly Journals;;"Cartaxo, Bruno;Pinto, Gustavo;Kamei, Fernando;Monteiro, Danilo;Queda, Fabio;Soares, Sergio";;" Stack Exchange Inc
519130"; © 2019 Cartaxo et al. This is an open access article distributed under the terms of the Creative Commons Attribution License: http://creativecommons.org/licenses/by/4.0/ (the “License”), which permits unrestricted use, distribution, reproduction and adaptation in any medium and for any purpose provided that it is properly attributed. For attribution, the original author(s), title, publication source (PeerJ Preprints) and either DOI or URL of the article must be cited. Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.7287/peerj.preprints.27610v1; Working Paper;; Mar 22, 2019;;;; English; English;; San Diego;Mar 22, 2019;PeerJ PrePrints;2019;;https://search.proquest.com/docview/2195775316?accountid=11774;;;;; 2019-03-22 (Published) , 2019-03-22 (Accepted); n/a;; Computer programs , Software , Reviews , Software engineering; Systematic Reviews , Stack Exchange , Evidence-Based Software Engineering , Software Engineering Practice;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Asciencejournals&amp;atitle=How+systematic+reviews+cover+practitioners%27+issues%3A+A+study+on+Stack+Exchange+communities&amp;title=PeerJ+PrePrints&amp;issn=&amp;date=2019-03-22&amp;volume=&amp;issue=&amp;spage=&amp;au=Cartaxo%2C+Bruno%3BPinto%2C+Gustavo%3BKamei%2C+Fernando%3BMonteiro%2C+Danilo%3BQueda%2C+Fabio%3BSoares%2C+Sergio&amp;isbn=&amp;jtitle=PeerJ+PrePrints&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.7287%2Fpeerj.preprints.27610v1";ProQuest Central,SciTech Premium Collection
Student Perceptions on the Role of the Classroom Environment on Computer Supported Collaborative Learning;The physical classroom remains the one constant space where most schooling takes place and where everyday Computer Supported Collaborative Learning (CSCL) practices in formal educational settings occur. While educational advocates have championed the need for a change to schooling, pedagogy and various teaching and learning practices, the learning environment where these activities are taking place especially at the university level remain the same year after year, creating challenges for those attempting to implement CSCL. In this paper we argue that we cannot improve learning without looking at how the physical classroom space and furniture layout is designed and its impact on learning. Given that the CSCL research emphasizes social interactions, collaboration and knowledge growth, all of which should be occurring in the classroom, it seems appropriate to look at classroom space and changing pedagogies.;2156687262;Scholarly Journals; Educational Technology, School of Educational Foundations, Leadership and Aviation, College of Education, Health and Aviation, Oklahoma State University, Stillwater, OK, USA , Department of Design, Housing and Merchandising, Oklahoma State University, Stillwater, OK, USA;"Asino, Tutaleni I;Pulay, Alana";;; TechTrends is a copyright of Springer, (2018). All Rights Reserved.; 10.1007/s11528-018-0353-y; Journal Article; 2018-12-15; Mar 2019;;8756-3894;2; English; English; 179-187; Washington;Mar 2019;TechTrends;2019;63;https://search.proquest.com/docview/2156687262?accountid=11774;;;;; 2018-11-16 (Registration); 179;; Knowledge management , Classrooms , Learning , Classrooms , Collaborative learning , Education , Social factors , Furniture , Colleges & universities , Computer assisted instruction--CAI; Classroom furniture , Collaborative technology use , Learning environments , Physical classroom space;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Student+Perceptions+on+the+Role+of+the+Classroom+Environment+on+Computer+Supported+Collaborative+Learning&amp;title=TechTrends&amp;issn=87563894&amp;date=2019-03-01&amp;volume=63&amp;issue=2&amp;spage=179&amp;au=Asino%2C+Tutaleni+I%3BPulay%2C+Alana&amp;isbn=&amp;jtitle=TechTrends&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs11528-018-0353-y";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Simulating a Non-Native Invasion;This article shows a computer simulation design by a fourth-grade students to model how a new species introduction affects native populations. In the last few years, there has been a push to provide high-quality computer science instruction to all K--12 students. Computer science (CS) and computational thinking a problem-solving process used by computer scientists teach students design, logical reasoning, and problem solving--skills that are valuable in life and in any career. Elementary educators see the need and benefit of CS education but struggle to fit something new into the already packed elementary school day.;2175248559;Scholarly Journals;;"Thomas, Debra Kelly;Milenkovic, Lisa;Marousky, Annmargareth";;" National Science Foundation
923110 , Google Inc
334310
519130"; Copyright National Science Teachers Association Feb 2019;; Feature;; Feb 2019;;0036-8148;6; English; English; 37-45; Washington;Feb 2019;Science and Children;2019;56;https://search.proquest.com/docview/2175248559?accountid=11774;;;;;; 37;; Computer simulation , Computer science , Education , New species , Indigenous species , Indigenous species , Problem solving , Introduced species , Problem solving , Introduced species , Careers , Computer applications , Problem solving , Computer simulation , Students , United States--US , Trump, Donald J;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aagriculturejournals&amp;atitle=Simulating+a+Non-Native+Invasion&amp;title=Science+and+Children&amp;issn=00368148&amp;date=2019-02-01&amp;volume=56&amp;issue=6&amp;spage=37&amp;au=Thomas%2C+Debra+Kelly%3BMilenkovic%2C+Lisa%3BMarousky%2C+Annmargareth&amp;isbn=&amp;jtitle=Science+and+Children&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Determinants of the Effectiveness of Using Renewable Resource Management-Based Simulations in the Development of Critical Thinking: An Application of the Experiential Learning Theory;The twenty-first century’s society experiences new challenges in being immersed in a new paradigm of the educational system. Higher education institutions should train professionals so that they are able to experience real situations in order to encourage reflection on affective, aesthetic, and ethical dimensions of these people in their relations with the natural and sociocultural environment. Learning strategies must allow the acquisition of creative, active, and applied knowledge as well as the development of critical thinking. According to the experiential learning theory, to achieve this, higher education should use student-centered interactive and collaborative teaching methodologies and focus studies on the skills that graduates must have, promoting student know-how, initiative, and autonomous learning. Business simulations are instruments that fulfil the above characteristics, facilitating learning. The objective of this research was to provide a model that identifies the determining factors (simulation’s realism and structure, perceived usefulness, and students’ learning motivation) in the effectiveness of using these tools to develop critical thinking focused on sustainability. Three hundred and twenty-six surveys completed by undergraduate students were obtained, which used a structural equation model (SEM) to analyze the influence of realism, simulation structure, perceived usefulness, and students’ motivations to develop critical thinking. The outcomes according to the experiential learning theory showed that the game’s realism lets students perceive its usefulness and, together with an adequate simulation structure, determines the students’ learning motivations by developing critical thinking.;2398143313;Scholarly Journals;;"Urquidi-Martín, Ana C;Tamarit-Aznar, Carmen;Sánchez-García, Javier";;" United Nations--UN
928120"; © 2019. This work is licensed under http://creativecommons.org/licenses/by/3.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.3390/su11195469; Journal Article; 2019-10-02; 2019;;;19; English; English;; Basel;2019;Sustainability;2019;11;https://search.proquest.com/docview/2398143313?accountid=11774;;;;; 2019-07-27 (Received) , 2019-09-28 (Revised) , 2019-09-30 (Accepted); 5469;; Teaching , Motivation , Pedagogy , Higher education , Students , Information society , Learning theory , Sustainability , Resource management , Motivation , Computer simulation , Students , Resource management , Simulation , Experiential learning , Knowledge , Graduates , Resource management , Education , Sustainable development , Learning , Multivariate statistical analysis , Higher education institutions , Critical thinking , Environmental protection , Renewable resources , Education , Simulation; higher education , sustainability , critical thinking , experiential learning theory , business simulations , structural equations;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Assamodule&amp;atitle=Determinants+of+the+Effectiveness+of+Using+Renewable+Resource+Management-Based+Simulations+in+the+Development+of+Critical+Thinking%3A+An+Application+of+the+Experiential+Learning+Theory&amp;title=Sustainability&amp;issn=&amp;date=2019-01-01&amp;volume=11&amp;issue=19&amp;spage=5469&amp;au=Urquidi-Mart%C3%ADn%2C+Ana+C%3BTamarit-Aznar%2C+Carmen%3BS%C3%A1nchez-Garc%C3%ADa%2C+Javier&amp;isbn=&amp;jtitle=Sustainability&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Fsu11195469";ProQuest Central,SciTech Premium Collection
Impact of self-regulated learning on academic performance and satisfaction of students in the online environment;"The concept of self-regulated learning (SRL) hasn’t been researched enough in Bosnia and Herzegovina (B&amp;H) and hence this study represents an important milestone in understanding this concept in this context. The conducted research was initiated with the presupposition that SRL had a positive impact on satisfaction and academic performance of students. In order to prove the goals of the research, two main hypotheses were formulated. The results of the exploratory factor analysis (EFA) have shown that the statements within SRL are grouped into five factors goal-setting, metacognition, environment structuring, computer self-efficacy and social dimension. Multiple regression analysis proved that 4 of 5 factors have a positive impact on satisfaction and academic performance of students. Only goal-setting yielded no significance on the two aforementioned variables, while remaining four factors showed a significant influence on students’ satisfaction and academic performance. https//doi.org/10.34105/j.kmel.2019.11.018";2311734655;Scholarly Journals;;"Adisa Ejubović;Puška, Adis";;; © 2019. This work is published under https://creativecommons.org/licenses/by/4.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; Journal Article;; 2019;;2073-7904;3; English; English; 345-363; Hong Kong;2019;Knowledge Management & E-Learning;2019;11;https://search.proquest.com/docview/2311734655?accountid=11774;;;;;; 345;; Goal setting , Factor analysis , Students , Learning , Social factors , Students , Multiple regression analysis;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahightechjournals&amp;atitle=Impact+of+self-regulated+learning+on+academic+performance+and+satisfaction+of+students+in+the+online+environment&amp;title=Knowledge+Management+%26+E-Learning&amp;issn=20737904&amp;date=2019-01-01&amp;volume=11&amp;issue=3&amp;spage=345&amp;au=Adisa+Ejubovi%C4%87%3BPu%C5%A1ka%2C+Adis&amp;isbn=&amp;jtitle=Knowledge+Management+%26+E-Learning&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection
Andragogical teaching patterns appropriate for work-integrated learning in the information technology industry;This paper examines the teaching patterns of experts employed in the information technology (IT) industry. The objective was to study the teaching patterns that are used to develop new IT workers in organizations. Thematic content analysis was conducted on interviews with thirty-four IT professionals working in IT and non-IT industries with experience of mentoring new workers. The study investigated the use of adult-learning theory in four teaching patterns: time-based, function-based, technical-task-based, and case-based. Indications for the applications of the various patterns are described in detail. The researchers suggest the use of the patterns identified to optimize the process of enhancing the ability of IT students involved in work-integrated learning projects.;2310848981;Scholarly Journals;;"Janchai, Worawit;Siddoo, Veeraporn;Sawattawee, Jinda";;; © 2019. Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the associated terms available at https://www.ijwil.org/access-and-costs;; Journal Article;; 2019;;;3; English; English; 283-299; Hamilton;2019;International Journal of Work - Integrated Learning;2019;20;https://search.proquest.com/docview/2310848981?accountid=11774;;;;;; 283;; Information technology , Technology education , Pedagogy , Adult learning; IT education , teaching approach , IT industry , IT worker , digital economy , adult learning;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Andragogical+teaching+patterns+appropriate+for+work-integrated+learning+in+the+information+technology+industry&amp;title=International+Journal+of+Work+-+Integrated+Learning&amp;issn=&amp;date=2019-01-01&amp;volume=20&amp;issue=3&amp;spage=283&amp;au=Janchai%2C+Worawit%3BSiddoo%2C+Veeraporn%3BSawattawee%2C+Jinda&amp;isbn=&amp;jtitle=International+Journal+of+Work+-+Integrated+Learning&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,Social Science Premium Collection
