Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Sofian S.S., Rambely A.S.","57194241033;25633056500;","The effectiveness of game and recreational activity to motivate high achievers and low achievers: Evaluation using fuzzy conjoint analysis",2018,"AIP Conference Proceedings","1940",, 020128,"","",,2,"10.1063/1.5028043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045665036&doi=10.1063%2f1.5028043&partnerID=40&md5=5a6776d49e25789403b46973b9fecc53","Students' evaluation is important in order to determine the effectiveness of a learning program. A game and recreational activity (GaRA) is a problem-based learning (PBL) method that engages students in a learning process through games and activity. The effectiveness of GaRA can be determined from an application of fuzzy conjoint analysis (FCA) to diminish fuzziness in determining individual perceptions. This study involves a survey collected from 68 students participating in a Mathematics Discovery Camp organized by a UKM research group, named PRISMatik, from two different schools. The aim of this research was to determine the effectiveness of modules delivered to motivate students towards mathematics subject in the form of GaRA through different factors. There were six games conducted for the participants and their perceptions based on the evaluation of six criterias were measured. A seven-point Likert scale, which indicates seven linguistic terms, was used to collect students' preferences and perceptions on each module of GaRAs. Scores of perceptions were transformed into degrees of similarity using fuzzy set conjoint analysis. Results found that interest, effort and team work was the strongest values obtained from GaRA modules in this camp as participants indicated their strong agreement that these criteria fulfilled their preferences in most module. Participants also stated that almost all attributes fulfilled their preference in each module regardless their individual academic achievement. Thus the method demonstrated that modules delivered through PBL approach has effectively motivated students through six attributes introduced. The evaluation using FCA implicated the successfulness of a fuzzy approach to evaluate fuzziness obtained in the Likert-scale and has shown its ability in ranking the attributes from most preferred to least preferred. © 2018 Author(s).","American Institute of Physics Inc.","AIP Conf. Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85045665036
"Pivec M.","16239718600;","Fostering Co-Creation with Games: Transforming Formal into Non-Formal Learning and Vice Versa",2018,"Proceedings - 2018 6th International Conference on Learning and Teaching in Computing and Engineering, LaTiCE 2018",,, 8753408,"42","43",,,"10.1109/LaTICE.2018.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069448026&doi=10.1109%2fLaTICE.2018.00015&partnerID=40&md5=defd951ee1b5c0a5522fa0732d0a1425","This paper presents four game-based learning designs with focus on situated development of students' creativity and active participation in the learning process. Presented cases are based on role-play, interdisciplinary team work and co-creation, using games and gamification as additional motivation to engage students in project and problem based learning. The reported case studies are from formal learning settings at the university from bachelor and master level and nonformal learning setting with open access to everyone. © 2018 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Proc. - Int. Conf. Learn. Teach. Comput. Eng., LaTiCE",Conference Paper,"Final",,Scopus,2-s2.0-85069448026
"Yağcı M.","54386339800;","Web-Mediated Problem-Based Learning and Computer Programming: Effects of Study Approach on Academic Achievement and Attitude",2018,"Journal of Educational Computing Research","56","2",,"272","292",,1,"10.1177/0735633117706908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044121773&doi=10.1177%2f0735633117706908&partnerID=40&md5=50c202d6113153402edc69ea293df135","In the relevant literature, it is often debated whether learning programming requires high-level thinking skills, the lack of which consequently results in the failure of students in programming. The complex nature of programming and individual differences, including study approaches, thinking styles, and the focus of supervision, all have an effect on students’ achievement in programming. How students learn programming and the relationships between their study approaches and their achievement in programming have not yet been adequately illuminated. In this regard, the present study aims to investigate the effect of the study approach used on students’ attitudes toward programming and on their academic achievement within an online problem-based learning environment. In this study, a single-factor, pretest posttest single group and semiempirical method was utilized. The study was conducted on 41 students from a public university in Turkey. To implement problem-based learning activities, a teaching environment was created with the Moodle platform, allowing for group work and discussions. Seven status of the problems were prepared exclusively for the 12-week application period so that students could make suggestions about how to solve them. In the data collection phase, the Study Approach Scale, the Attitude Towards Programming Scale, and the Academic Achievement Test were employed. T-test and covariance analyses were carried out in the statistical analysis phase. According to the findings of the present study, students adopting the “deep” study approach were more successful than the students adopting a “superficial” approach. Moreover, it was determined that the problem-based learning application had a positive effect on students’ attitudes toward programming and that the study approach did not significantly affect the students’ attitude toward programming. © 2017, © The Author(s) 2017.","SAGE Publications Inc.","J. Educ. Comput. Res.",Article,"Final",,Scopus,2-s2.0-85044121773
"Demitra, Sarjoko","57201425210;57201425863;","Effects of Handep cooperative learning based on indigenous knowledge on mathematical problem solving skill",2018,"International Journal of Instruction","11","2",,"103","114",,2,"10.12973/iji.2018.1128a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044782492&doi=10.12973%2fiji.2018.1128a&partnerID=40&md5=6a321fb94934c198abad19fcb0c50ba8","Indigenous people of Dayak tribe in Kalimantan, Indonesia have traditionally relied on a system of mutual cooperation called handep. The cultural context has an influence on students mathematics learning. The handep system might be suitable for modern learning situations to develop mathematical problem-solving skill. The objective of the study was to investigate the effect of handep cooperative learning model compared to problem-based learning model on mathematical problem-solving skill of rational exponent material. The research was conducted through pretest-posttest non-equivalent control group design. The sample of 66 students was selected from the population of 304 students through cluster random sampling. The mathematical problem-solving skill assessed with essay test of the open-ended question had reliability coefficient of rxx'= 0,71. The students' answers scorings were obtained with the rubric of mathematical problem-solving skill. Data analysis is conducted through ANACOVA. The result presents that the mathematical problem-solving skill of students who learned through handep cooperative learning model is better than problem-based learning. Handep cooperative learning model is suitable to enhance the mathematical problem solving skill of students in Kalimantan-Indonesia cultural context. The teacher should construct the instructional material use metacognition questioning strategy and also be familiar to their students' prior knowledge of mathematics. © 2018, Eskisehir Osmangazi University.","Eskisehir Osmangazi University","Int. J. Instr.",Article,"Final",Open Access,Scopus,2-s2.0-85044782492
"Wilaisakoolyong N.","57188572900;","The cyber teamwork system based on cloud to maximize the teamwork capability",2018,"2017 Intelligent Systems Conference, IntelliSys 2017","2018-January",,,"354","357",,,"10.1109/IntelliSys.2017.8324317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050872010&doi=10.1109%2fIntelliSys.2017.8324317&partnerID=40&md5=a1c4feebe47e05a96e441c78e67459c2","The cyber teamwork system based on cloud was created to support working group and maximize the teamwork capability. The cyber teamwork system comprised of five components. They were Collaboration, Communication, Project management, Document management and Operation control. The main aims of this research were (1) to develop the cyber teamwork system based on cloud (2) to maximize the teamwork capability (3) to evaluate the quality of each team's project and (4) to evaluate satisfaction of system users. Researcher brought this system to trial with 20 teamwork groups. Each team used the cyber teamwork system based on cloud to do their own project. The experimental design was Quasi Experimental Pre-test Post-test Control Group Design. The statistics employed for analyzing the data were mean, standard deviation and independent t-test. The research results show that there were 13 of 20 teamwork's projects which evaluated over a ""very good"" level. The teamwork ability after using the cyber teamwork system was higher than that before using the system at 0.05 level of significance. The satisfactions of system users were evaluated at a good level. © 2017 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Intell. Syst. Conf., IntelliSys",Conference Paper,"Final",,Scopus,2-s2.0-85050872010
"Sokolowski E., Oussena S.","55835953300;22234611400;","An intervention detection framework for collaborative projects",2018,"2017 Intelligent Systems Conference, IntelliSys 2017","2018-January",,,"246","251",,,"10.1109/IntelliSys.2017.8324300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050885556&doi=10.1109%2fIntelliSys.2017.8324300&partnerID=40&md5=7d91c898f490c08fae93f8edaaa2bff4","Capstone projects are increasingly being used in Higher Education to emulate real world work environments and to provide valuable experiential learning. There these projects are run within a live commercial environment and with the close cooperation of a client mentor, they have proven to provide enhanced benefits to students. In such cases a vast amount of planning and cajoling may have gone into securing the cooperation of live clients and tutors are therefore eager to ensure that the projects they have provided are successfully executed in order to secure the cooperation of the client organisation in future years. With this in mind, this paper describes the proposal for a framework to monitor and detect dysfunctional behaviour within project groups using CSCL (Computer Supported Collaborative Learning), in order to allow timely interventions to be made to correct the collaboration process. The proposed intervention detection framework comprises of four dimensions: 1) individual temporal dynamic, 2) group dynamic, 3) sentiment analysis of discussions, and 4) analysis of content volume. © 2017 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Intell. Syst. Conf., IntelliSys",Conference Paper,"Final",,Scopus,2-s2.0-85050885556
"Lawlor J., Conneely C., Oldham E., Marshall K., Tangney B.","56354945100;35620098500;35620862200;56209449800;6602522343;","Bridge21: teamwork, technology and learning. A pragmatic model for effective twenty-first-century team-based learning",2018,"Technology, Pedagogy and Education","27","2",,"211","232",,6,"10.1080/1475939X.2017.1405066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041005141&doi=10.1080%2f1475939X.2017.1405066&partnerID=40&md5=db2c0d5f99078b2a443ac58acc2d954d","There have been calls for decades by many educational writers and commentators for a new model of learning to facilitate what is generally described as twenty-first-century learning. Central to this challenge is the required shift in responsibility for who leads and owns the learning–from teacher to student. Such a shift requires a pragmatic pedagogical model to facilitate the transfer of control and ownership of learning. Vygotsky’s ‘more able other’ identified the peer as a key figure in learning. Teamwork facilitates project-based learning and, when mediated with technology, proves an effective partner in creating an engaging and autonomous learning experience. This paper describes the rationale for the design of a team-based model of twenty-first-century learning, particularly drawing upon the team-based learning model of the World Scout Movement. Results from a year-long study of the implementation of the model in an out-of-school context with 288 second-level students are presented. The authors argue that Bridge21 is a candidate learning model for effective, implementable, twenty-first-century, team-based learning. © 2018 Association for Information Technology in Teacher Education.","Routledge","Technol. Pedagog. Educ.",Article,"Final",,Scopus,2-s2.0-85041005141
"Berthoud L., Gliddon J.","6601999275;57194521229;","Using wikis to investigate communication, collaboration and engagement in Capstone engineering design projects",2018,"European Journal of Engineering Education","43","2",,"247","263",,1,"10.1080/03043797.2017.1332574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020533862&doi=10.1080%2f03043797.2017.1332574&partnerID=40&md5=693e3f5fe7eca935add2b349b13eba69","In today’s global Aerospace industry, virtual workspaces are commonly used for collaboration between geographically distributed multidisciplinary teams. This study investigated the use of wikis to look at communication, collaboration and engagement in ‘Capstone’ team design projects at the end of an engineering degree. Wikis were set up for teams of engineering students from different disciplinary backgrounds and years. The students’ perception of the usefulness of the tool were surveyed and the user contribution statistics and content categorisation were analysed for a case study wiki. Recommendations and lessons learned for the deployment of wikis are provided for interested academic staff from other institutions. Wikis were found to be of limited use to investigate levels of communication and collaboration in this study, but may be of interest in other contexts. Wikis were considered a potentially useful tool to track engagement for Capstone design projects in engineering subjects. © 2017 University of Bristol. Published by Informa UK Limited, trading as Taylor & Francis Group.","Taylor and Francis Ltd.","Eur. J. Eng. Educ.",Article,"Final",Open Access,Scopus,2-s2.0-85020533862
"Taipalus T., Seppänen V., Pirhonen M.","57202507438;26424809600;27567969500;","Coping with uncertainty in an Agile systems development course",2018,"Journal of Information Systems Education","29","2",,"117","126",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048520908&partnerID=40&md5=c180a0dda5929a857eada7f19eaa6a9b","Uncertain and ambiguous environments are commonplace in information systems development (ISD) projects, and while different Agile frameworks welcome changes in organizational, technical, and business environments, the incurred uncertainty is known to negatively affect the development process and the quality of the final product. The effects of uncertainty on ISD projects have been studied in the past in real organizational contexts, but the effects of uncertainty on students in Agile systems development have received less attention from scholars. In this study, we measured the effects of experienced uncertainty on students' performance in an Agile systems development course and how uncertainty affected the quality of the system developed by the students using Scrum. We implemented the course using a problem based learning (PBL) approach and simulated uncertainty through various work environment reflecting concepts. Our study reveals that the effects of uncertainty are fairly similar among students and software professionals, and we identified three different coping strategies that students used with varying degrees of success. We present that learning approaches such as PBL enable a befitting environment for students to acquire hands-on experience in coping with uncertain environments, thus mitigating the problems students are likely to face in their work environments. © 2018 by the Information Systems & Computing Academic Professionals, Inc. (ISCAP).","ISCAP- Information Systems and Computing Academic Professionals","J. Inf. Syst. Educ.",Article,"Final",,Scopus,2-s2.0-85048520908
"Magana A.J., Seah Y.Y., Thomas P.","25655033800;57192554438;57202499267;","Fostering cooperative learning with Scrum in a semi-capstone systems analysis and design course",2018,"Journal of Information Systems Education","29","2",,"75","92",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048550157&partnerID=40&md5=bc0ba59cb8d20f240e56eae2a0b48b8a","Agile methods such as Scrum that emphasize technical, communication, and teamwork skills have been practiced by IT professionals to effectively deliver software products of good quality. The same methods combined with pedagogies of engagement can potentially be used in the setting of higher education to promote effective group learning in software development classrooms. Therefore, the purpose of this study is to integrate both Scrum and cooperative learning guidelines into a systems analysis and design classroom to promote the skills of teamwork, communication, and problem-solving while learning systems analysis and design methods. This integration was implemented in a sophomore, semi-capstone design course where students were engaged in collaborative classroom activities. Two different approaches - overlapped approach and delayed approach - were used in two different semesters for this implementation. Based on the analysis of student performance in the course, student reflections on their team performance, and student overall perceptions of the teaching approach, this study suggests that the integration of cooperative learning and Scrum serves as guidance for students to effectively analyze and design software solutions, as well as to reflect on their team performance and learning process. In addition, a delayed approach for Scrum implementation appears to effectively support student learning by providing better and earlier feedback. © 2018 by the Information Systems & Computing Academic Professionals, Inc. (ISCAP).","ISCAP- Information Systems and Computing Academic Professionals","J. Inf. Syst. Educ.",Article,"Final",,Scopus,2-s2.0-85048550157
"Tsai W.-L., Chen C.-Y., Chen C.-S.","56422572100;23974264000;57193768944;","Snowman: Agile development method with institutionalized communication and documentation for capstone projects",2018,"Asia Pacific Management Review","23","1",,"12","19",,1,"10.1016/j.apmrv.2017.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016520975&doi=10.1016%2fj.apmrv.2017.01.002&partnerID=40&md5=c211ca7c483896b981e1664eb84080bc","Numerous organizations currently implement agile methods in practical software development processes. Using agile methods involves mutually strengthening communication to ease the burden involved in documenting plan-driven projects. A focus on people-oriented communication has resulted in agile methods being diverted from development processes that codify formal documents. This situation makes follow-up software maintenance difficult. This paper proposes an appropriate and concrete approach for streamlining communication and documentation in software engineering education called the Snowman approach. The results of evaluations conducted indicate that the proposed Snowman approach enables undergraduate students to learn agile methods and resolves misconceptions surrounding agile methods. © 2017 College of Management, National Cheng Kung University","National Cheng Kung University","Asia Pac. Manage. Rev.",Article,"Final",,Scopus,2-s2.0-85016520975
"Herbert N.","55484738600;","Reflections on 17 years of ICT capstone project coordination: Effective strategies for managing clients, teams and assessment",2018,"SIGCSE 2018 - Proceedings of the 49th ACM Technical Symposium on Computer Science Education","2018-January",,,"215","220",,4,"10.1145/3159450.3159584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046106702&doi=10.1145%2f3159450.3159584&partnerID=40&md5=d183ecbd7c273db764265eff79209a53","Many undergraduate ICT degrees culminate with students completing a team-based capstone project under academic supervision. Capstone projects provided by external clients facilitate authentic experiential learning, but sourcing external projects can be difficult, and there can be issues managing industry clients within an academic setting. Capstone projects also provide an opportunity for professional skill development to increase student employability, though to fully assess generic learning outcomes requires evaluating more than the final product created for the client. Teamwork can have a positive impact on student learning, however it is challenging to determine a process of assessment that enables formative and summative assessment that does not require an academic to immerse themselves within a team to evaluate an individual's contribution. Team members are often the best source of meaningful information, and self and peer assessment is commonly used as part of an assessment scheme, but to ensure the objectivity and integrity of the final grade it is necessary to correlate data from a variety of sources. This experience report reflects on a team-based capstone project approach that has been offered for 17 years and proposes some effective strategies for coordinating the more challenging aspects of capstone projects. © 2018 Association for Computing Machinery.","Association for Computing Machinery, Inc","SIGCSE - Proc. ACM Tech. Symp. Comput. Sci. Educ.",Conference Paper,"Final",,Scopus,2-s2.0-85046106702
"Kim D., Lim C.","57195838904;16052588400;","Promoting socially shared metacognitive regulation in collaborative project-based learning: a framework for the design of structured guidance",2018,"Teaching in Higher Education","23","2",,"194","211",,2,"10.1080/13562517.2017.1379484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029901807&doi=10.1080%2f13562517.2017.1379484&partnerID=40&md5=a069f917dbc306201914735b13d9ce88","Despite the emergence of collaborative project-based learning in higher education settings, how it can be supported has received little attention. We noted the positive impact of socially shared metacognitive regulation on students’ collaboration processes. The purpose of this study was to present a framework for the design and implementation of socially shared metacognitive regulation supports. We (a) proposed a framework for designing guidance for socially shared metacognitive regulation and (b) implemented the design as collaboration scripts. An empirical study was conducted to validate the framework by examining the effect of collaboration script on 32 students’ interactions in a real setting. Data included 2695 utterances resulting from participants’ team discussions. The results indicated that the collaboration scripts used to support socially shared metacognitive regulation positively influenced participants’ interactions regarding team planning and knowledge construction. The findings provide validation for the suggested framework. Implications for research and practice were also discussed. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","Routledge","Teach. High. Educ.",Article,"Final",,Scopus,2-s2.0-85029901807
"Marques M., Ochoa S.F., Bastarrica M.C., Gutierrez F.J.","55438418600;8605223400;8871330500;56674860600;","Enhancing the Student Learning Experience in Software Engineering Project Courses",2018,"IEEE Transactions on Education","61","1", 8026185,"63","73",,14,"10.1109/TE.2017.2742989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029176385&doi=10.1109%2fTE.2017.2742989&partnerID=40&md5=e042549534f6b105a6632ed9b38b65dc","Carrying out real-world software projects in their academic studies helps students to understand what they will face in industry, and to experience first-hand the challenges involved when working collaboratively. Most of the instructional strategies used to help students take advantage of these activities focus on supporting agile programming, which is appropriate for capstone courses. This is not always recommended in initial software engineering project courses, however, where novice developers run projects in teams while simultaneously taking other courses. To enhance the learning and teamwork experience in this latter instructional scenario, this paper proposes a formative monitoring method, reflexive weekly monitoring (RWM), for use in project courses that involve disciplined software processes and loosely coupled work. RWM uses self-reflection and collaborative learning practices to help students be aware of their individual and team performance. RWM was applied in a case study over nine consecutive semesters. The results obtained indicate that RWM was effective in enhancing the learning experience in the instructional scenario studied. While students in the monitored teams were more effective and coordinated, and experienced a higher sense of team belonging and satisfaction, little evidence was found of them being more productive than students working in non-monitored teams. © 1963-2012 IEEE.","Institute of Electrical and Electronics Engineers Inc.","IEEE Trans Educ",Article,"Final",,Scopus,2-s2.0-85029176385
"Lin C.-L.","57213479188;","The Development of an Instrument to Measure the Project Competences of College Students in Online Project-Based Learning",2018,"Journal of Science Education and Technology","27","1",,"57","69",,1,"10.1007/s10956-017-9708-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026435117&doi=10.1007%2fs10956-017-9708-y&partnerID=40&md5=9ddf30646e61e0beda22a11aefa5ba8a","This study sought to develop a self-report instrument to be used in the assessment of the project competences of college students engaged in online project-based learning. Three scales of the KIPSSE instrument developed for this study, namely, the knowledge integration, project skills, and self-efficacy scales, were based on related theories and the analysis results of three project advisor interviews. Those items of knowledge integration and project skill scales focused on the integration of different disciplines and technological skills separately. Two samples of data were collected from information technology-related courses taught with an online project-based learning strategy over different semesters at a college in southern Taiwan. The validity and reliability of the KIPSSE instrument were confirmed through item analysis and confirmatory factor analysis using structural equation modeling of two samples of students’ online response sets separately. The Cronbach’s alpha reliability coefficient for the entire instrument was 0.931; for each scale, the alpha ranged from 0.832 to 0.907. There was also a significant correlation (r = 0.55, p < 0.01) between the KIPSSE instrument results and the students’ product evaluation scores. The findings of this study confirmed the validity and reliability of the KIPSSE instrument. The confirmation process and related implications are also discussed. © 2017, Springer Science+Business Media, LLC.","Springer Netherlands","J. Sci. Educ. Technol.",Article,"Final",,Scopus,2-s2.0-85026435117
"Saltz J.S., Heckman R.R.","7004423035;57208339645;","A scalable methodology to guide student teams executing computing projects",2018,"ACM Transactions on Computing Education","18","2", 9,"","",,1,"10.1145/3145477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064535263&doi=10.1145%2f3145477&partnerID=40&md5=b2169dc4372126e7d5dcdf264d450bfa","This article reports on a sequential mixed-methods research study, which compared different approaches on how to guide students through a semester-long data science project. Four different methodologies, ranging from a traditional “just assign some intermediate milestones” to other more Agile methodologies, were first compared via a controlled experiment. The results of this initial experiment showed that the project methodology used made a significant difference in student outcomes. Surprisingly, the Agile Kanban approach was found to be much more effective than the Agile Scrum methodology. Based on these initial results, in the second semester, we focused on use of the Kanban methodology. The findings in the second, more qualitative phase, confirmed the methodology’s usefulness and scalability. A key issue when using the scrum methodology was that the students had a very difficult time estimating what could be completed in each of their two-week sprints. The Kanban board, which visually shows and limits work-in-progress, was found to be an effective way for students to communicate with each other as well as with their instructor. In addition, Agile Kanban also streamlined the work required for instructors to efficiently provide guidance to student teams and to understand each team’s status. In summary, a scalable Kanban methodology, which can be applied to a wide variety of student computing projects, was found to an effective methodology to guide and manage student projects, improving student outcomes and minimizing instructor workload. © 2018 ACM.","Association for Computing Machinery","ACM J. Trans. Comput. Educ.",Article,"Final",,Scopus,2-s2.0-85064535263
"Vidoni M., Montagna J.M., Vecchietti A.","56857546600;7003597698;6602753359;","Project and team-based strategies for teaching software architecture",2018,"International Journal of Engineering Education","34","5",,"1701","1708",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052698093&partnerID=40&md5=20e6c5efe555e53fd0a8a08aae567dc4","Software Architecture remains a difficult topic to teach. This is because of the problem’s complexity, and the integration of interpersonal and technical skills with knowledge from different areas. This paper presents the introduction of Project-Based Learning (PBL) and Team-Based Learning (TBL) in a Software Architecture undergraduate course. The goal for students is to apply in practice the concepts learned using ATAM (Architecture Tradeoff Analysis Method) to evaluate case studies of real-world architecture. PBL is known for allowing students to experiment with realistic problems and improve their negotiation and communication skills. TBL offers a different approach to group-based activities, by using them to determine the structure of the course. This approach is applied in an optional course in a Systems Engineering degree; its results are positive, having increased students’ attendance and active participation levels. A student survey also shows acceptance of the new methodology. © 2018 TEMPUS Publications.","Tempus Publications","Int. J. Eng. Educ.",Article,"Final",,Scopus,2-s2.0-85052698093
"Alexandre G.H.S., Santos S.C., Rodrigues A.N., Souza P.B.","36462270200;26768300700;56022576400;57202282496;","Applying and managing PBL: An experience in information systems education",2018,"CSEDU 2018 - Proceedings of the 10th International Conference on Computer Supported Education","2",,,"57","67",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047722320&partnerID=40&md5=92d32ca5c232438796e2c684123261a6","The dynamism of the global economy and its growing dependence on Information Technology, more complex and integrated, has required a transformation in the education of software professionals with the focus on the development of skills such as teamwork, real practice of problem-solving, managerial profile and analysis of solutions. In this context, the Problem-Based Learning (PBL) approach falls as a glove for the training of professionals in these competencies. From this motivation, this paper describes the application of the PBL approach in an Information Systems course. Aiming the effectiveness of this approach, the Framework described in (Santos and Rodrigues, 2016) was applied, which proposes tools for the planning, execution, monitoring, and improvements of PBL. The results showed the suitability of the Framework for this purpose, describing how it was applied and how the PBL can be managed, besides emphasizing main benefits and improvement points from this application. Copyright © 2018 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.","SciTePress","CSEDU - Proc. Int. Conf. Comput. Supported Educ.",Conference Paper,"Final",,Scopus,2-s2.0-85047722320
"Carvalho J.D., Fernandes S., Lima R.M., Mesquita D.","57204143422;16315361800;24476304200;55213987200;","Making PBL teams more effective with Scrum",2018,"International Symposium on Project Approaches in Engineering Education","8",,,"64","72",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054614673&partnerID=40&md5=232c67808a1418cd76346f1402912be3","Scrum is a project management methodology very popular in the software industry with good results in terms of team work effectiveness. Scrum is based on important team work values such as commitment, courage, focus, openness and respect and can be described in three different dimensions: Scrum team; Scrum Events; and Scrum artefacts. This paper aims to analyse the implementation of scrum approach in a project based learning context in higher education. The scrum approach was applied in the fourth year of the Industrial Engineering and Management (IEM) degree program, where teams of students developed a PBL project in an industrial context during the first semester. The research methodology focused on a qualitative approach. Semi-structured interviews were carried out to the Scrum Team (scrum master, product owner and the student team). Scrum Events were analysed through direct observation and Scrum Artefacts (Product Backlog, Sprint Backlog and Increment) were analysed based on a document analysis. The results of this study contribute to understand the effectiveness of the application of Scrum to complex PBL learning environments. The results presented in the study provided important inputs to improve the way PBL student teams manage themselves as well as their projects. © 2018, University of Minho. All rights reserved.","University of Minho","Int. Symposium Project Approaches Eng. Educ.",Conference Paper,"Final",,Scopus,2-s2.0-85054614673
"Gutierrez-Martinez J.-M., Castillo-Martinez A., Aguado-Delgado J., Barchino R., Otón S.","41761750800;56028072800;57192009053;23479340300;17346570900;","Innovative evaluation by projects for course with mixed computer science degrees",2018,"International Journal of Engineering Education","34","4",,"1212","1222",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049793311&partnerID=40&md5=6603a40488b9f32ec7183d32f3007d21","This paper explains the evaluation method applied to a specific capstone course, called ‘‘Ubiquitous computing’’, taught in different Computer Science Degrees of the University of Alcalá (Spain). Along the previous editions of the course several issues have been discovered, which are intended to be solved with the proposed method that was used as evaluation system of the subject in year 2016–2017. The issues are related to the number of students of each degree that compose the group each year, the contents’ deviation, the low marks obtained in previous years, the methodological mismatch in relation with other subjects and the bad alignment of the evaluation method used before. With the idea of obtaining better marks, a closer experience to the real situation in software companies and higher satisfaction level of the students, the learning experience proposed implies teamwork, a project-based learning perspective and a balanced use of the technologies. Taking the results obtained through its implantation along the last academic year, it can be concluded that the evaluation method shown in this document enhances the learning process and the contents are closer to the course initial conception, and students got more involved and obtained better results. © 2018 TEMPUS Publications.","Tempus Publications","Int. J. Eng. Educ.",Article,"Final",,Scopus,2-s2.0-85049793311
"Kim M.-S.","55531017400;","A web-based system to build teams for project-based learning courses: An industrial engineering case",2018,"Global Journal of Engineering Education","20","2",,"91","99",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048669189&partnerID=40&md5=cb0cb933cc1e576190e009cae37d20d8","Engineering schools have opened many diverse courses based on project-based learning, which is a student-centred learning model that imposes more responsibility on students for their own learning than the traditional lecture-based approach. While project-based learning courses provide engineering students with educational achievement and problem-solving capability, there are numerous difficulties in the solving process of their projects. Above all, at the initial stage they encounter the difficult situation of building a team to carry out their project. This study aims to develop a team-building support system (TSS) to help students construct their team in project-based learning (PBL) courses. The TSS provides various course-tailoring method to choose team members according to the objectives and characteristics of the PBL courses based on three algorithms, the coincidence degree-based, closeness-based and successful record-based algorithms. The responsive Web design technology applied in the system enables users to build a team regardless of time and place. Thus, the TSS is expected to enable students and teaching staff to effectively implement their project at the initial stage of courses, furthermore, it can be extended to PBL courses of other disciplines. © WIETE 2018.","World Institute for Engineering and Technology Education","Glob. J. Eng. Educ.",Article,"Final",,Scopus,2-s2.0-85048669189
"Zabalaga M.A.C., UscÃ¡tegui J., Xinsheng W., Nong W.J., Na L.","57191536039;57208626675;7801685233;57208629206;57208621270;","Problem-Based Learning as an Educational Method for the 21st Generation Space Scientists",2018,"Proceedings of the International Astronautical Congress, IAC","2018-October",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065324333&partnerID=40&md5=56230dcd26380da1dfa7797f3a6a07e1","We investigated the application of a Problem-Based Learning (PBL) model on international postgraduate students. We proposed a PBL model based on five sections: i) selection, ii) presentation of the challenge, iii) teamwork process, iv) assessment and v) introspection; and report the results of its implementation. The students were asked to participate on a satellite competition and we applied our PBL model to prepare them. We found that leadership is a key characteristic that plays an important role for the team work process and consecution of the objectives. Different skills and attitudes were bolstered before the competition took place. The permanent feedback, assessment, introspection and mutual communication were the key elements for the consecution of the second price in the competition. We regard our PBL model as a pillar of academic success. © 2018 by the International Astronautical Federation (IAF). All rights reserved.","International Astronautical Federation, IAF","Proc. Int. Astronaut. Congr., IAC",Conference Paper,"Final",,Scopus,2-s2.0-85065324333
