Title;Abstract;StoreId;AccessionNumber;AlternateTitle;ArticleType;AuthorAffiliation;Authors;coden;companies;contractNumber;copyright;digitalObjectIdentifier;documentType;elecISSN;elecPubDate;entryDate;isbn;issn;issue;language;languageOfSummary;originalTitle;pages;placeOfPublication;pubdate;pubtitle;publicationType;year;publisher;sourceAttrib;volume;DocumentURL;classification;classificationCodes;documentFeatures;majorClassificationCodes;notes;startPage;subjectClassifications;subjectHeadings;subjectTerms;subjects;FindACopy;Database
Will personalized e-Learning increase deep learning in higher education?;Purpose Recent research in higher education has pointed out that personalized e-learning through the use of learning management systems, such as Moodle, improves the academic results of students and facilitates the detection of at-risk students. Design/methodology/approach A sample of 124 students following the Degree in Health Sciences at the University of Burgos participated in this study. The objectives were as follows: to verify whether the use of a Moodle-based personalized e-learning system will predict the learning outcomes of students and the use of effective learning behaviour patterns and to study whether it will increase student satisfaction with teaching practice. Findings The use of a Moodle-based personalized e-learning system that included problem-based learning (PBL) methodology predicted the learning outcomes by 42.3 per cent, especially with regard to the results of the quizzes. In addition, it predicted effective behavioural patterns by 74.2 per cent. Increased student satisfaction levels were also identified through the conceptual feedback provided by the teacher, arguably because it facilitated a deeper understanding of the subject matter. Research limitations/implications The results of this work should be treated with caution, because of the sample size and the specificity of the branch of knowledge of the students, as well as the design type. Future studies will be directed at increasing the size of the sample and the diversity of the qualifications. Originality/value Learning methodology in the twenty-first century has to be guided towards carefully structured work from the pedagogic point of view in the learning management systems allowing for process-oriented feedback and PBL both included in personalized e-learning systems.;2184564333;;;Scholarly Journals; Universidad de Burgos Facultad de Ciencias de la Salud, Burgos, Spain , Universidad de Burgos Escuela Politecnica Superior, Burgos, Spain , Universidad de Burgos Escuela Politecnica Superior, Burgos, Spain , Universidad de Valladolid, Facultad de Educación y Trabajo Social Valladolid, Spain;"María Consuelo Sáiz-Manzanares;García Osorio, César Ignacio;Díez-Pastor, José Francisco;Martín Antón, Luis Jorge";;;; © Emerald Publishing Limited 2019; 10.1108/IDD-08-2018-0039; Journal Article;;; 2019;;2398-6247;1; English; English;; 53-63; Bingley;2019;Information Discovery and Delivery;;2019;;;47;https://search.proquest.com/docview/2184564333?accountid=11774;;;;; 2018-08-29 (Received) , 2018-11-09 (Revised) , 2018-12-05 (Revised) , 2018-12-06 (Accepted); 53;;; Teaching , Online instruction , Higher education , Access to information , Blended learning , Learning management systems , Metacognition , Data mining , Feedback , Deep learning; Moodle , Learning , Personalized , Blended , Log files analysis , Self-regulated;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Will+personalized+e-Learning+increase+deep+learning+in+higher+education%3F&amp;title=Information+Discovery+and+Delivery&amp;issn=23986247&amp;date=2019-01-01&amp;volume=47&amp;issue=1&amp;spage=53&amp;au=Mar%C3%ADa+Consuelo+S%C3%A1iz-Manzanares%3BGarc%C3%ADa+Osorio%2C+C%C3%A9sar+Ignacio%3BD%C3%ADez-Pastor%2C+Jos%C3%A9+Francisco%3BMart%C3%ADn+Ant%C3%B3n%2C+Luis+Jorge&amp;isbn=&amp;jtitle=Information+Discovery+and+Delivery&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1108%2FIDD-08-2018-0039";ProQuest Central,Social Science Premium Collection
Technology in problem-based learning: helpful or hindrance?;Purpose The purpose of this paper is to examine the relationship between student motivation and technology in the implementation of problem-based learning (PBL) in a technologically enhanced active learning classroom (ALC). Design/methodology/approach PBL was implemented in an undergraduate course in human osteology ( n =49) at a large Canadian University. Numerous activities using the ALC technology were conducted to engage students in self-directed active learning. Students wrote critical self-reflections at the beginning of the course and with each PBL report. They completed a survey at the end of the course using a Likert scale that included written comments on their motivation toward different uses of technology. Findings Students generally had high motivation toward PBL at the end of the course. Their evaluation of the technology to support PBL was dependent on the activity. Students (88 percent) appreciated the use of an overhead camera to visualize anatomical elements, and short problem-solving exercises using the whiteboard but they negatively evaluated the real-time projection of PBL sessions through a discussion board (52 percent). Almost half of the class (43 percent) felt that technology was a hindrance to their learning process in PBL. Originality/value This study demonstrates the complex relationship between student motivation toward active learning, the learning environment, and technology. Instructors and students influence the learning environment through their conceptions of effective teaching. According to this framework, technology should be implemented not only according to the teaching method, but consider teaching conceptions and the learning environment.;2182405042;;;Scholarly Journals; Department of Anthropology, University of Toronto – Mississauga, Mississauga, Canada , Department of Anthropology, University of Toronto – Mississauga, Mississauga, Canada;"Fukuzawa, Sherry;Cahn, Joel";;;; © Emerald Publishing Limited 2019; 10.1108/IJILT-12-2017-0123; Journal Article , Case Study;;; 2019;;2056-4880;1; English; English;; 66-76; Bingley;2019;The International Journal of Information and Learning Technology;;2019;;;36;https://search.proquest.com/docview/2182405042?accountid=11774;;;;; 2017-12-29 (Received) , 2018-05-25 (Revised) , 2019-01-30 (Accepted); 66;;; Problem solving , Motivation , Classrooms , Active learning , Collaboration , Teaching methods , Technology assessment , Learning , Communication , Biomedical materials , School environment , Student participation , Design , Educational technology , Biocompatibility , Critical thinking , Problem based learning , Independent study , Problem solving , Students , Colleges & universities , Teachers , Canada; Active learning , Problem-based learning , Active learning classroom , Technology;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Technology+in+problem-based+learning%3A+helpful+or+hindrance%3F&amp;title=The+International+Journal+of+Information+and+Learning+Technology&amp;issn=20564880&amp;date=2019-01-01&amp;volume=36&amp;issue=1&amp;spage=66&amp;au=Fukuzawa%2C+Sherry%3BCahn%2C+Joel&amp;isbn=&amp;jtitle=The+International+Journal+of+Information+and+Learning+Technology&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1108%2FIJILT-12-2017-0123";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
SPSE — a model of engineering multimedia learning and training;Engineering learning has long been a topic of attention. The traditional engineering learning mode has its own rationality, which is not without merit. The PBL (Problem-Based Learning) model provides new ideas of engineering learning, yet it lacks the “design” elements, seldom takes into consideration the social attribute of engineering, and falls short of clear support to guide learners in problem-solving. This paper analyzes the properties and characteristics of various types of engineering learning modes, based on which the engineering learning is divided into 4 key nodes. Besides, it proposes a design-based scaffold-type engineering learning model — SPSE (Scenario Prototype Scheme Evaluating), and explains SPSE from dimensions of engineering process, design and innovation. In order to improve the efficiency of SPSE engineering learning and training, a management platform software based on WEB and multimedia technology is designed. On the one hand, this software supports the communication and discussion between students and teachers. On the other hand, it supports the teacher to the student learning process monitoring and management. Finally, a successful case of SPSE teaching practice is used to further verify the rationality and effectiveness of engineering learning based on SPSE. Finally, a successful case of SPSE teaching practice is used to further verify the rationality and effectiveness of engineering learning based on SPSE.;2090926096;;;Scholarly Journals; Ningbo Institute of Technology, Zhejiang University, Ningbo, China , Ningbo Institute of Technology, Zhejiang University, Ningbo, China , Ningbo Institute of Technology, Zhejiang University, Ningbo, China;"Wang, Chengbo;Xiao, Hui;Wen, Shiting";;;; Multimedia Tools and Applications is a copyright of Springer, (2018). All Rights Reserved.; 10.1007/s11042-018-6520-5; Journal Article;; 2018-08-21; Jan 2019;;1380-7501;1; English; English;; 1149-1164; Dordrecht;Jan 2019;Multimedia Tools and Applications;;2019;;;78;https://search.proquest.com/docview/2090926096?accountid=11774;;;;; 2018-08-10 (Registration) , 2018-04-26 (Received) , 2018-08-10 (Accepted); 1149;;; Teaching , Engineering , Rationality , Learning , Design engineering , Multimedia , Engineering education , Problem solving , Training , Multimedia , Teachers , Innovations; Engineering learning , SPSE , Design , Innovative thinking;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=SPSE+%26mdash%3B+a+model+of+engineering+multimedia+learning+and+training&amp;title=Multimedia+Tools+and+Applications&amp;issn=13807501&amp;date=2019-01-01&amp;volume=78&amp;issue=1&amp;spage=1149&amp;au=Wang%2C+Chengbo%3BXiao%2C+Hui%3BWen%2C+Shiting&amp;isbn=&amp;jtitle=Multimedia+Tools+and+Applications&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs11042-018-6520-5";ProQuest Central,SciTech Premium Collection
Supervision of Undergraduate Final Year Projects in Computing: A Case Study;Final Year Projects (FYPs) play a significant role in undergraduate education in the computing field of study, and most of the related university departments and schools consider them an essential contribution to this study. However, issues such as whether to assign the projects individually or to a group of students, the procedures followed in their assignment, the supervision process and the evaluation of the outcomes have been of concern to many academics in the field. In this case study, we present the methods for activities such as assignment, supervision, and evaluation of FYPs at the University of Kurdistan Hewlêr (UKH) between the years 2009 and 2017. We discuss the development of our approach and the lessons learned during the mentioned period. Furthermore, we present our current way of managing the FYP module. The aim is to develop a platform for interested and involved academics to discuss the topic further. Sharing the experiences on managing FYPs would not only help in making the module more attractive and beneficial to the students but also in the consolidation of the guidelines and indicators of the proper supervision and a fair evaluation of this significant undergraduate study endeavor.;2309539546;;;Scholarly Journals;;"Hassani, Hossein;Kadir, Govand;Al-Salihi, Nawzad K;Wrya Muhammad Ali Monnet;Ali-Yahiya, Tara;Fattah Alizade";;" IEEE Computer Society
813920 , Association for Computing Machinery
813910";; © 2018. This work is licensed under https://creativecommons.org/licenses/by/4.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.3390/educsci8040210; Journal Article;; 2018-12-04; Dec 2018;;;4; English; English;;; Basel;Dec 2018;Education Sciences;;2018;;;8;https://search.proquest.com/docview/2309539546?accountid=11774;;;;; 2018-10-30 (Received) , 2018-11-27 (Revised) , 2018-11-29 (Accepted); n/a;;; Supervision , Students , Computer science , Supervisors , Computer engineering , Informatics , Core curriculum , Information technology , Project evaluation , Software engineering , Education , United States--US , New York , United Kingdom--UK , Australia , France , Kurdistan; computing education , computing curricula , Final Year Projects , capstone project , final year project evaluation;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Supervision+of+Undergraduate+Final+Year+Projects+in+Computing%3A+A+Case+Study&amp;title=Education+Sciences&amp;issn=&amp;date=2018-12-01&amp;volume=8&amp;issue=4&amp;spage=&amp;au=Hassani%2C+Hossein%3BKadir%2C+Govand%3BAl-Salihi%2C+Nawzad+K%3BWrya+Muhammad+Ali+Monnet%3BAli-Yahiya%2C+Tara%3BFattah+Alizade&amp;isbn=&amp;jtitle=Education+Sciences&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Feducsci8040210";ProQuest Central,Social Science Premium Collection
Enhancing Entrepreneurship Education in a Master’s Degree in Computer Engineering: A Project-Based Learning Approach;New master’s degrees in computer engineering, designed according to Spanish government requirements, include both technical and business subjects to provide advanced knowledge compared to undergraduate studies. In spite of acquiring this advanced knowledge, our students are not always aware of the significant added value and the positive elements the master’s degree provides for their future professional careers. Moreover, we have observed that students regard the different subjects as isolated blocks of knowledge. To tackle these problems, we have carried out a learning experience based on the creation of a technology-based enterprise (TBE) through the development of a common project (CP). Drawing on project-based learning (PBL) methodology, the CP consists of the identification, development, and final oral presentation of a business model. It aims to utilize sensor data and analysis in different domains. The experience has been highly positive, reducing the gap between studies and business practice, and increasing coordination among teachers. A key issue is that all the subjects of the master’s degree are involved in this learning experience. In addition, results show a high level of satisfaction with the master’s degree, compared to other similar courses.;2247708274;;;Scholarly Journals;;"Arias, Enrique;Barba-Sánchez, Virginia;Carrión, Carmen;Casado, Rafael";;" European Commission
928120";; © 2018. This work is licensed under https://creativecommons.org/licenses/by/4.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.3390/admsci8040058; Journal Article;; 2018-10-04; Dec 2018;;;4; English; English;;; Basel;Dec 2018;Administrative Sciences;;2018;;;8;https://search.proquest.com/docview/2247708274?accountid=11774;;;;; 2018-06-30 (Received) , 2018-09-29 (Revised) , 2018-10-01 (Accepted); n/a;;; Teaching , Higher education , Students , Studies , Computer engineering , Entrepreneurship education , Design , Business plans , Entrepreneurs , Qualitative research , Problem based learning , Distance learning , School effectiveness , Entrepreneurship , Spain; entrepreneurship education , active learning , computer science , master’s degree education , project-based learning (PBL) , technology-based enterprise (TBE);"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Enhancing+Entrepreneurship+Education+in+a+Master%26rsquo%3Bs+Degree+in+Computer+Engineering%3A+A+Project-Based+Learning+Approach&amp;title=Administrative+Sciences&amp;issn=&amp;date=2018-12-01&amp;volume=8&amp;issue=4&amp;spage=&amp;au=Arias%2C+Enrique%3BBarba-S%C3%A1nchez%2C+Virginia%3BCarri%C3%B3n%2C+Carmen%3BCasado%2C+Rafael&amp;isbn=&amp;jtitle=Administrative+Sciences&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Fadmsci8040058";ProQuest Central,Social Science Premium Collection
Motivating Language Learners during Times of Crisis through Project-based Learning: Filming Activities at the Arab International University (AIU);Times of crisis and the critical conditions that Syrian students have experienced during the last six years have a significant influence on their level of motivation, their academic performance and their attitudes towards their study in general and language learning in specific. This study explores the effects of project-based learning through video making on students' motivation and attitudes towards English courses in comparison to the negative effects produced by the traditional teaching which is mainly based on textbooks. This research is carried out at Arab international university, Foreign Language Center. A total of 24 intermediate students from three different majors participated in the study. Data were drawn from a number of resources including group discussions and informal notes, student self-evaluation questionnaire, and students' performance results. The learning outcomes were remarkable. The motivational level and the attitudes of the experimental group in the second part of the course in which project-based learning sessions were held improved and witnessed a difference in performance comparing it to the first eight weeks of the course in which traditional teaching approach was implemented. Moreover, the learners have improved their linguistic skills when attempting to write the video scripts in addition to developing their oral presentation skills, team work, and their organization and planning skills.;2157298630;;;Scholarly Journals; English Department, Arab International University, Damascus, Syria;Assaf, Dareen;;" Arab International University
611310";; Copyright Academy Publication Co., Ltd. Dec 2018; 10.17507/tpls.0812.10; Journal Article;;; Dec 2018;;1799-2591;12; English; English;; 1649-1657; London;Dec 2018;Theory and Practice in Language Studies;;2018;;;8;https://search.proquest.com/docview/2157298630?accountid=11774;;;;;; 1649;;; Teaching , Research , Higher education , Foreign students , Language centers , College students , Student attitudes , Language attitudes , Educational technology , Self evaluation , Foreign language learning , Teachers , Handbooks , Motivation , Second language learning , Learning outcomes , Motivation , Digital video , Learning commons , Attitudes , International languages , English as a second language learning , English as a second language teaching methods , Academic achievement;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Motivating+Language+Learners+during+Times+of+Crisis+through+Project-based+Learning%3A+Filming+Activities+at+the+Arab+International+University+%28AIU%29&amp;title=Theory+and+Practice+in+Language+Studies&amp;issn=17992591&amp;date=2018-12-01&amp;volume=8&amp;issue=12&amp;spage=1649&amp;au=Assaf%2C+Dareen&amp;isbn=&amp;jtitle=Theory+and+Practice+in+Language+Studies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.17507%2Ftpls.0812.10";ProQuest Central,Social Science Premium Collection
Identifying the mathematics middle year students use as they address a community issue;Middle year students often do not see the mathematics in the real world whereas the Australian Curriculum: Mathematics aims for students to be “confident and creative users and communicators of mathematics” (Australian Curriculum Assessment and Reporting Authority [ACARA] 2012). Using authentic and real mathematics tasks can address this situation. This paper is an account of how, working within a Knowledge Producing Schools’ framework, a group of middle year students addressed a real community issue, the problem of the lack of a teenage safe space using mathematics and technology. Data were collected for this case study via journal observations and reflections, semi-structured interviews, samples of the students’ work and videos of students working. The data were analysed by identifying the mathematics the students used determining the function and location of the space and focused on problem negotiation, formulation and solving through the statistical investigation cycle. The paper will identify the mathematics and statistics these students used as they addressed a real problem in their local community.;2130224396;;;Scholarly Journals; School of Education, University of the Sunshine Coast, Sippy Downs, QLD, Australia;Marshman, Margaret;;;; Mathematics Education Research Journal is a copyright of Springer, (2017). All Rights Reserved.; 10.1007/s13394-017-0195-5; Journal Article;; 2017-03-14; Dec 2018;;1033-2170;4; English; English;; 355-382; Dordrecht;Dec 2018;Mathematics Education Research Journal;;2018;;;30;https://search.proquest.com/docview/2130224396?accountid=11774;;;;; 2017-02-03 (Registration) , 2015-12-14 (Received) , 2017-02-03 (Accepted); 355;;; Statistical methods , Curricula , Students , Communities , Community , Mathematical analysis , Curricula , Statistical analysis , Mathematics education , Middle school students; Knowledge Producing Schools , Statistical investigation cycle , Problem-based learning , Mathematical modelling , Middle years;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Identifying+the+mathematics+middle+year+students+use+as+they+address+a+community+issue&amp;title=Mathematics+Education+Research+Journal&amp;issn=10332170&amp;date=2018-12-01&amp;volume=30&amp;issue=4&amp;spage=355&amp;au=Marshman%2C+Margaret&amp;isbn=&amp;jtitle=Mathematics+Education+Research+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs13394-017-0195-5";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Investigating Flipped Classroom and Problem-based Learning in a Programming Module for Computing Conversion Course;This research paper investigates the effectiveness of combined Flipped Classroom (FC) and Problem-based Learning (PBL) teaching approach in a computer programming module. Combined FC-PBL makes use of learning technologies and supports authentic learning in terms of authentic context, multiple perspectives through team work and collaboration. FC involves watching educational videos prior to class session, and using the class session for practical tasks, thus supporting programming skills development. PBL enables authentic learning activities through group work and helps students to develop 21st century skills such as self-direction, collaboration, creativity and innovation. A research case study was conducted that considered a three-stage based delivery of the module that involved traditional, only FC, and combined FC-PBL teaching approaches applied on a number of programming topics. Both the educational and edutainment benefits were analyzed. The results show that combined FC-PBL approach is effective and the knowledge acquired by students improves, in particular, for the weaker students. Only 1.9% of students have scored an assessment mark lower than 40% compared to 28.3% and 24.5% when the traditional teaching and FC-only approaches respectively were used. Overall, a 26.56% increase in the assessment results was noticed when combined FC-PBL was used. The edutainment element was investigated through a questionnaire that assessed learning environment, engagement, learner satisfaction and whether the students have enjoyed learning sessions. The survey analysis shows that the combined FC-PBL approach does aid in the edutainment of mature students and provides an enjoyable learning experience.;2147868967;;;Scholarly Journals;;"Chis, Adriana E;Moldovan, Arghir-Nicolae;Murphy, Lisa;Pathak, Pramod;Cristina Hava Muntean";;;; © 2018. This work is published under https://creativecommons.org/licenses/by-nc-nd/3.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; Journal Article;;; 2018;;1176-3647;4; English; English;; 232-247; Palmerston North;2018;Journal of Educational Technology & Society;;2018;;;21;https://search.proquest.com/docview/2147868967?accountid=11774;;;;;; 232;;; Knowledge acquisition , Students , Collaboration , Learning , Classrooms , Problem based learning , Cooperation , Education , Scientific papers , Skills , Students , Computer programming , Innovations , Flipped classroom; Flipped classroom , context-based learning technology , problem-based learning , authentic learning , fun e-learning , edutainment , authentic context;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Investigating+Flipped+Classroom+and+Problem-based+Learning+in+a+Programming+Module+for+Computing+Conversion+Course&amp;title=Journal+of+Educational+Technology+%26+Society&amp;issn=11763647&amp;date=2018-10-01&amp;volume=21&amp;issue=4&amp;spage=232&amp;au=Chis%2C+Adriana+E%3BMoldovan%2C+Arghir-Nicolae%3BMurphy%2C+Lisa%3BPathak%2C+Pramod%3BCristina+Hava+Muntean&amp;isbn=&amp;jtitle=Journal+of+Educational+Technology+%26+Society&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Personality and Learning Effectiveness of Teams in Information Systems Education Courses;The goal of this paper is to clarify the optimal combination of team members to maximize the learning effectiveness in information systems education courses. We surveyed the correlation of students’ five factor model personalities and the learning effectiveness, which is the amount of increase in team management or technical knowledge, and skill, which is the IPA common carrier skill framework based on SFIA. Specifically, we targeted were three actual courses (a System Development Project course, an IT Management Project course, and an Application Development Project course) to elucidate the relationships between personality characteristics and learning effectiveness. Although individual students’ personality characteristics are not strongly related to learning effectiveness, team personality characteristics are related to learning effectiveness. In particular, Neuroticism and Conscientiousness characteristics are negatively correlated to learning effectiveness.;2306230440;;;Scholarly Journals;;"Shuto, Masashi;Washizaki, Hironori;Fukazawa, Yoshiaki;Yamato, Shoso;Okubo, Masashi;Tenbergen, Bastian";;;; © 2018. This work is licensed under http://creativecommons.org/licenses/by/3.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.4108/eai.25-9-2018.155572; Journal Article;;; Sep 2018;;;17; English; English;;; Ghent;Sep 2018;EAI Endorsed Transactions on e-Learning;;2018;;;5;https://search.proquest.com/docview/2306230440?accountid=11774;;;;; 2018-07-20 (Accepted) , 2018-10-03 (Published); n/a;;; Information systems , Personality , Personality traits , System effectiveness , Learning , Information systems , Education , Personality , Project management , Students , Parent teacher groups , Questionnaires; Information system education , Software engineering education , Team communication , Team coordination , Five factor model , Personality characteristics , Problem-based learning;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Personality+and+Learning+Effectiveness+of+Teams+in+Information+Systems+Education+Courses&amp;title=EAI+Endorsed+Transactions+on+e-Learning&amp;issn=&amp;date=2018-09-01&amp;volume=5&amp;issue=17&amp;spage=&amp;au=Shuto%2C+Masashi%3BWashizaki%2C+Hironori%3BFukazawa%2C+Yoshiaki%3BYamato%2C+Shoso%3BOkubo%2C+Masashi%3BTenbergen%2C+Bastian&amp;isbn=&amp;jtitle=EAI+Endorsed+Transactions+on+e-Learning&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.4108%2Feai.25-9-2018.155572";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Comparative effect of project-based learning and electronic project-based learning on the development and sustained development of english idiom knowledge;As a response to the advancement of technology into every aspect of human life especially education and the need for more involvement on the side of learners advocated by learner-centered approaches towards education, this study aimed at investigating comparative effect of project-based (PBL) learning and electronic project-based learning (EPBL) on Iranian intermediate English as a Foreign Language learners’ idiom learning and retention. 90 male and female participants’ were assigned into three groups of control, PBL and EPBL. At the onset of the study, a pre- test of English idiom knowledge was conducted. After 15 sessions of treatment on the basis of specific lesson plan and procedure, learners’ knowledge of idioms was measured on posttest and delayed posttests. The results of multivariate analysis of variance indicated that both PBL and EPBL outperformed control group in learning and retention and PBL outperformed EPBL in retention and sustainability of the knowledge. The student’s perceived efficacy of PBL in two modes was analyzed using portfolio writing. Theme elicitation analysis suggested that the centrality of the role of instructors, environmental support and traditional education conventions and culture need to be revisited when it comes to implementation of technology in education.;1993181257;;;Scholarly Journals; English Translation Department, Karaj Branch, Islamic Azad University, Karaj, Iran;Mohamadi, Zohre;;;; Journal of Computing in Higher Education is a copyright of Springer, (2018). All Rights Reserved.; 10.1007/s12528-018-9169-1; Journal Article;;; Aug 2018;;1042-1726;2; English; English;; 363-385; Dordrecht;Aug 2018;Journal of Computing in Higher Education;;2018;;;30;https://search.proquest.com/docview/1993181257?accountid=11774;;;;;; 363;;; Multivariate analysis , Retention , Learning , Foreign language learning , Variance analysis , Foreign languages , English language , Problem based learning , Computer assisted instruction--CAI , Education , Education , Multivariate analysis , Teachers; Idiomatic expressions , Learning and retention , Sustained development , Project-based learning, and electronic project based-learning , English as Foreign Language;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Comparative+effect+of+project-based+learning+and+electronic+project-based+learning+on+the+development+and+sustained+development+of+english+idiom+knowledge&amp;title=Journal+of+Computing+in+Higher+Education&amp;issn=10421726&amp;date=2018-08-01&amp;volume=30&amp;issue=2&amp;spage=363&amp;au=Mohamadi%2C+Zohre&amp;isbn=&amp;jtitle=Journal+of+Computing+in+Higher+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs12528-018-9169-1";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Pakistani undergraduate students’ perceptions of project-based learning in the English composition course;Purpose The purpose of this paper is to explore how BS first-year students of the computer science department at a private university in Karachi perceive project-based learning (PjBL) implemented in the English composition course. The more specific objectives were to bring to light the benefits and challenges associated with PjBL from the students’ standpoint. Research works on students’ perceptions of project-based learning particularly in English language teaching remains an underresearched area in Pakistan and this makes this study useful and essential. Design/methodology/approach Adopting the lens of constructionism, this study used the qualitative approach for investigation. Thus, to achieve an in-depth insight into students’ perceptions, they were provided an opportunity to reflect and freely report their views regarding the project approach. The participants in this study formulate perceptions about a given phenomenon based on a thoughtful analysis of their experiences with that phenomenon. The qualitative researcher aims to get a deep understanding of these views of the participants, and so this study employed accounts and drawings as data collection tools. The data were then content analyzed. Findings Upon data analysis, two major themes emerged being the benefits and challenges associated with PjBL. The benefits can be further divided into academic and non-academic benefits. The major academic benefit was that the project approach allowed students to achieve a deeper and more meaningful understanding of the subject matter whereas the non-academic benefits include enhanced communication and negotiation skills, time management, creative and critical thinking skills. The major challenges faced by the students were related to time management and getting along with each other in groups. Originality/value The research problem is a scarcely explored area in Pakistani English language teaching in higher education. Moreover, the use of student drawings as a data collection method is an unusual method for this research problem.;2213347057;;;Scholarly Journals; FAST-National University of Computer and Emerging Sciences, Islamabad, Pakistan , Iqra University, Karachi, Pakistan;"Sultan, Sameera;Javaid, Syeda Tuba";;;; © Emerald Publishing Limited 2018; 10.1108/JARHE-11-2017-0135; Journal Article;;; 2018;;2050-7003;3; English; English;; 217-229; Bingley;2018;Journal of Applied Research in Higher Education;;2018;;;10;https://search.proquest.com/docview/2213347057?accountid=11774;;;;; 2017-11-06 (Received) , 2018-01-03 (Revised) , 2018-01-04 (Accepted); 217;;; Students , Collaboration , Teaching methods , Perceptions , Learning , Pakistan , Karachi Pakistan; Project-based learning , Cooperation , Perceptions , Collaborative learning , Experiential learning;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Pakistani+undergraduate+students%26rsquo%3B+perceptions+of+project-based+learning+in+the+English+composition+course&amp;title=Journal+of+Applied+Research+in+Higher+Education&amp;issn=20507003&amp;date=2018-07-01&amp;volume=10&amp;issue=3&amp;spage=217&amp;au=Sultan%2C+Sameera%3BJavaid%2C+Syeda+Tuba&amp;isbn=&amp;jtitle=Journal+of+Applied+Research+in+Higher+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1108%2FJARHE-11-2017-0135";ProQuest Central,Social Science Premium Collection
