"Document Title";Authors;"Author Affiliations";"Publication Title";Date Added To Xplore;"Publication Year";"Volume";"Issue";"Start Page";"End Page";"Abstract";"ISSN";ISBNs;"DOI";Funding Information;PDF Link;"Author Keywords";"IEEE Terms";"INSPEC Controlled Terms";"INSPEC Non-Controlled Terms";"Mesh_Terms";Article Citation Count;"Reference Count";"License";"Online Date";Issue Date;"Meeting Date";"Publisher";Document Identifier
"Case Study: Using Project Based Learning to Develop Parallel Programing and Soft Skills";"A. A. Younis; R. Sunderraman; M. Metzler; A. G. Bourgeois";"Georgia State University; Georgia State University; Georgia State University; Georgia State University";"2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)";"";"2019";"";"";"304";"311";"In today's environment; where every computer; including cell phones; are multicore; it is essential that students develop parallel programming skills. It remains a challenge to develop effective techniques for teaching parallel programing skills. Another challenge is finding time within already packed lectures to cover additional material. To that end; we investigate the effectiveness of using Project Based Learning (PBL) to teach parallel programming skills early in the curriculum by developing and incorporating a PBL module into CSc 3210 (Computer Organization and Programming). This is a core course taken by all computer science majors and is a prerequisite to many of our senior-level classes. In our case study; 124 students are organized into 26 diverse groups; with four or five students per group; and assigned five project assignments; each of two-weeks duration. Given a Raspberry PI; students will explore its multicore architecture and create programs for shared memory parallelism using OpenMP and C language. Our results show that incorporating this PBL module has a significant and direct effect on the student's growth in parallel programming skills. As a side benefit; we also show that there is a direct improvement on a student's personal growth in terms soft skills; which is essential in the professional development and success in the workplace. By having students experience PBL in an early class; close to the midpoint of the academic program; it can serve as a mini-capstone project. Furthermore; students can collaboratively learn by themselves (through teamwork) and apply the fundamentals of parallel programming skills without the need for separate lectures; labs; or workshops.";"";"978-1-7281-3510-6";"10.1109/IPDPSW.2019.00059";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8778328";"Parallel Computing;Parallel Programming;OpenMP;Shared Memory;Project Based Learning;Raspberry PI;Soft Skills;Teamwork Technology";"Parallel programming;Teamwork;Parallel processing;Multicore processing";"C language;computer aided instruction;computer science education;educational courses;message passing;parallel programming;programming languages;public domain software;teaching";"C language;OpenMP;shared memory parallelism;multicore architecture;Raspberry PI;Raspberry PI;computer organization and programming;CSc 3210;PBL;parallel programming skill teaching;soft skills;project based learning";"";"";"18";"";"";"";"";"IEEE";"IEEE Conferences"
"A professional project based learning method in mobile robotics";"A. Kokosy; M. V. Micea; P. Saey";"Service Robotics Department; Institut Supérieur d'Electronique et du Numérique (ISEN); Lille; France; Computer and Software Eng. Department; Politehnica University of Timisoara; Romania; E&A (Energy & Automation); KU Leuven - Faculty of Engineering; Technology; Gent; Belgium";"2014 IEEE Frontiers in Education Conference (FIE) Proceedings";"";"2014";"";"";"1";"7";"Due to its high potential and encouraging results; project-based learning emerges as a highly interesting paradigm in the education systems worldwide. Moreover; robotics is an interdisciplinary field where students could learn and apply their skills in mechanics; electronics; computer science; mathematics and control engineering. This paper presents a robotics project-based learning methodology which focuses on collaborating with the industry to design; develop; evaluate; integrate and manage projects designated to be used in real-life applications. This learning method emphasizes and enables the students to apprehend the importance of fulfilling client requirements and the interactions with the client; the suppliers and with the other members of the team. The students; coached by a partner from industry; have the opportunity to apply and to improve their project management skills under a large-scale; highly complex project. This method is being applied since 2008 at ISEN Lille; France; with good results and significant impact.";"2377-634X";"978-1-4799-3922-0";"10.1109/FIE.2014.7044409";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044409";"project-based learning;robotics;project management;industrial partnership;collaboration;team work";"Robot sensing systems;Service robots;Industries;Educational institutions;Project management";"educational robots;mobile robots";"professional project based learning method;mobile robotics;education systems;robotics project-based learning methodology;mechanics;electronics;computer science;mathematics;control engineering";"";"3";"21";"";"";"";"";"IEEE";"IEEE Conferences"
"PBL-SEE: An Authentic Assessment Model for PBL-Based Software Engineering Education";"S. C. dos Santos";"Centro de Informática; Universidade Federal de Pernambuco; Recife; Brazil";"IEEE Transactions on Education";"";"2017";"60";"2";"120";"126";"The problem-based learning (PBL) approach has been successfully applied to teaching software engineering thanks to its principles of group work; learning by solving real problems; and learning environments that match the market realities. However; the lack of well-defined methodologies and processes for implementing the PBL approach represents a major challenge. The approach requires great flexibility and dynamism from all involved; whether in mapping content; in teacher performance; or laying out the process of how learners should go about solving problems. This paper suggests that management processes can help in implementing PBL throughout its life cycle (planning; implementation; monitoring; and enhancement); and proposes an assessment model called PBL-SEE for use in software engineering education (SEE). Two examples of its use are provided. The results show how the model can be applied and how the resulting information can be used to make the PBL initiatives “authentic;” in that they bring the reality of the labor market to the learning environment; while keeping to PBL principles.";"1557-9638";"";"10.1109/TE.2016.2604227";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7577777";"Bloom’s taxonomy;case study;problem-based learning (PBL);problem solving;professional skills;student assessment;teaching evaluations";"Education;Software engineering;Process control;Software;Problem-solving;Context;Planning";"computer science education;software engineering";"authentic assessment model;software engineering education;PBL-SEE;problem-based learning approach;mapping content;teacher performance;management processes;life cycle;planning";"";"14";"19";"";"";"";"";"IEEE";"IEEE Journals"
"Skill-Based Group Allocation of Students for Project-Based Learning Courses Using Genetic Algorithm: Weightless Penalty Model";"R. Nand; A. Sharma; K. Reddy";"School of Computing; Mathematical and Information Systems; The University of the South Pacific; Suva; Fiji; Sch. of Comput.; Math. & Inf. Syst.; Univ. of the South Pacific; Suva; Fiji; Centre for Survey Research and Methods; Australian National University; Canberra; Australia";"2018 IEEE International Conference on Teaching; Assessment; and Learning for Engineering (TALE)";"";"2018";"";"";"431";"437";"In software engineering courses; project-based learning (PBL) is an essential counterpart for assessment. PBL requires a good spread of students based on their individual skills; this pushes for a successful outcome. Traditionally; the students are assigned to the group randomly by facilitators. In group assignment problem (GAP) students need to be placed in the appropriate groups encapsulating on general and specific criterions where possible to provide diversity. However; the need for a system arises where the assignment of students to groups require not only students to be based on certain criteria but also takes into account specific constraints. Constraints allow taking parameter such as skill preference in an unevenly or limited distributed skill set. For successful completion of projects; there is a need for groups that share same strength. In this paper; a generic method is proposed that uses the genetic algorithm to generate evenly balanced groups. We have employed weightless penalty function to rank the preference of certain constraints based on skills and incur a penalty if they are not satisfied. Since the benchmark datasets are unavailable; data collected from software engineering courses of our University is made available and its utilization with the proposed method is shown.";"2470-6698";"978-1-5386-6522-0";"10.1109/TALE.2018.8615338";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615338";"project-based learning;penalty function;genetic algorithm;group assignment problem;skill set;weightless";"Optimization;Genetic algorithms;Education;Resource management;Australia;Software engineering;Minimization";"computer aided instruction;computer science education;educational courses;genetic algorithms;software engineering";"evenly balanced groups;weightless penalty function;software engineering courses;group allocation;project-based learning courses;genetic algorithm;weightless penalty model;PBL;essential counterpart;successful outcome;group assignment problem students;appropriate groups;general criterions;specific criterions;account specific constraints;skill preference;unevenly distributed skill;limited distributed skill";"";"";"25";"";"";"";"";"IEEE";"IEEE Conferences"
"A Visualization System of the Contribution of Learners in Software Development PBL Using GitHub";"Y. Miyashita; A. Hazeyama; H. Hashiura; M. Goto; S. Hirasawa";"Grad. Sch. of Educ.; Tokyo Gakugei Univ.; Tokyo; Japan; Dept. of Inf. Sci.; Tokyo Gakugei Univ.; Tokyo; Japan; Dept. of Inf. Syst. & Media Design; Nippon Inst. of Technol.; Saitama; Japan; Dept. Ind. & Manage. Syst. Eng; Waseda Univ.; Tokyo; Japan; Res. Inst. for Sci. & Eng.; Waseda Univ.; Tokyo; Japan";"2018 25th Asia-Pacific Software Engineering Conference (APSEC)";"";"2018";"";"";"695";"696";"In recent years; the paradigm of social coding in software development has attracted attention to developers all over the world; and GitHub which is a social coding tool has spread to the area like education. There are many cases using it as a platform of PBL (Project Based Learning). However; since GitHub is not a tool for education; it is difficult to evaluate learners. This research focuses on the contribution of learners and proposes a system that teachers can grasp the contribution of learners.";"2640-0715";"978-1-7281-1970-0";"10.1109/APSEC.2018.00093";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719425";"GitHub;Project Based Learning;Contributing Student Pedagogy";"Software;Visualization;Information services;Electronic publishing;Internet;Education;Software engineering";"computer aided instruction;data visualisation;software engineering";"visualization system;learners;software development PBL;GitHub;social coding tool;project based learning";"";"";"10";"";"";"";"";"IEEE";"IEEE Conferences"
"Balancing Theory and Practice in Software Engineering Education – A PBL; toolset based approach";"A. Fontão; B. Gadelha; A. C. Júnior";"Institute of Computing – UFAM; Institute of Computing – UFAM; Institute of Computing – UFAM";"2019 IEEE Frontiers in Education Conference (FIE)";"";"2019";"";"";"1";"8";"This paper presents an interdisciplinary approach designed to join theoretical foundations required in software engineering with practice required for professional performance in software industry. Although this is a recurring issue on software engineering education; students still have difficulties in dealing with software development environments that are usually more complex than any software projects they have worked at university courses. We developed an approach aligned with market demands and theoretical requirements in software engineering education that incorporates principles of Project Based Learning (PBL) and Agile Methods. It aims to support development of student technical and soft skills in three different; but related; disciplines: Software Engineering Practice; Database Practice and Software Project Management. We describe a set of seven recommendations on how we used largely adopted tools in software development industry in order to develop student technical and soft skills. We describe two case studies: (1) an exploratory case study with three professors and 24 students involving multiple projects; and (2) a confirmatory case study with three professors and 15 students involving a large-scale project. As a result; we point seven recommendations for tool adoption on capstone courses based on lessons learned.";"2377-634X";"978-1-7281-1746-1";"10.1109/FIE43999.2019.9028606";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028606";"capstone course;project based learning;software engineering education";"Software;Tools;Software engineering;Education;Industries;Project management;Databases";"computer aided instruction;computer science education;educational courses;engineering education;project management;software engineering";"software engineering education;toolset based approach;software development environments;software project management;software development industry;PBL;project based learning";"";"";"14";"";"";"";"";"IEEE";"IEEE Conferences"
"Implementing Collaborative Project-Based Learning using the Tablet PC to enhance student learning in engineering and computer science courses";"Z. Avery; M. Castillo; H. Guo; J. Guo; N. Warter-Perez; D. S. Won; J. Dong";"Department of Technology; California State University Los Angeles; Department of Technology; California State University Los Angeles; Department of Computer Science; California State University Los Angeles; Department of Computer Science; California State University Los Angeles; Department of Electrical and Computer Engineering; California State University Los Angeles; Department of Electrical and Computer Engineering; California State University Los Angeles; Department of Electrical and Computer Engineering; California State University Los Angeles";"2010 IEEE Frontiers in Education Conference (FIE)";"";"2010";"";"";"F1E-1";"F1E-7";"Increasing the retention rate of engineering/ computer science students and enhancing student design skills are two major challenges in engineering education. This paper presents a team effort to implement Collaborative Project-based Learning (CPBL) using Tablet PC technology in a broad spectrum of engineering and computer science courses from freshman to senior level. Presented here are a number of innovative teaching strategies to create a more friendly and interactive learning environment to address the aforementioned challenges for minority students. Since Fall 2009; eight innovative pilot courses have been designed and conducted. Assessment results revealed that the implementation of Tablet PC based CPBL had brought transformational changes to the traditional engineering classrooms to support student centered-learning. The paper also describes the impact of Tablet PC based teaching strategy on lecture styles; teaching effectiveness and student learning outcomes from both the faculty and students' perspectives.";"2377-634X";"978-1-4244-6262-9";"10.1109/FIE.2010.5673215";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5673215";"Collaborative project-based learning;DyKnow software;interactive lecture;Tablet PC";"Education;Tablet computers;Collaboration;Software;Technological innovation;Computer science;Collaborative work";"computer aided instruction;computer science education;engineering education;groupware;interactive systems;student experiments";"collaborative project-based learning;student learning;engineering courses;computer science courses;engineering education;Tablet PC technology;interactive learning";"";"18";"12";"";"";"";"";"IEEE";"IEEE Conferences"
"Support peer assessment processes in online problem-based learning";"M. Samaka; Y. Miao; D. Wang";"Department of Computer Science and Engineering; Qatar University; Doha; Qatar; Department of Computational and Cognitive Sciences; University of Duisburg-Essen; Duisburg; Germany; Department of Computational and Cognitive Sciences; University of Duisburg-Essen; Duisburg; Germany";"2016 IEEE Global Engineering Education Conference (EDUCON)";"";"2016";"";"";"488";"497";"Problem Based Learning (PBL) is proposed as one of the most well-known alternatives to traditional lectures in modeling engineering graduates to become independent workers; critical thinkers; problem solver; lifelong learners; and team worker. In the past decades much has been reported about how to support online PBL; but much less attention has been given to support assessment in an online PBL. Recently; the authors of this paper have developed a domain-specific modeling language approach and an associated web-based PBL application to support the development and delivery of online PBL modules in a cost-effective and flexible manner. In this paper; the authors emphasize to support peer assessment in an online PBL. Through using a peer assessment example; the authors present how to support teachers; who may not have a comprehensive technical knowledge; to specify a peer assessment process as a segment of a PBL script; a graphical representation of a PBL strategy. Then the PBL application can transform a PBL script that including the peer assessment into a formal model represented in an international e-learning technical standard IMS-Learning Design (IMS-LD). Finally; such a formal model can be executed in any IMS-LD compatible run-time environment. We have demonstrated the technical feasibility of this approach through specifying and transforming the example peer assessment script.";"2165-9567";"978-1-4673-8633-3";"10.1109/EDUCON.2016.7474598";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474598";"Peer assessment;Problem-based learning (PBL);learning deisgn;IMS-LD;domain-specific modeling language";"Engineering education;Unified modeling language;Electronic learning;Standards;Context;Software";"computer aided instruction;engineering education;Internet";"peer assessment processes;online problem-based learning;engineering graduates;domain-specific modeling language approach;associated Web-based PBL application;online PBL modules;PBL script;international e-learning technical standard IMS-learning design;IMS-LD compatible run-time environment";"";"4";"";"";"";"";"";"IEEE";"IEEE Conferences"
"Creation of educational games — Project based learning in e-Learning systems course";"M. Jovanov; B. Ilijoski; E. Stankov; G. Armenski";"Faculty of Computer Science and Engineering; Ss. Cyril and Methodius University; Skopje; Macedonia; Faculty of Computer Science and Engineering; Ss. Cyril and Methodius University; Skopje; Macedonia; Faculty of Computer Science and Engineering; Ss. Cyril and Methodius University; Skopje; Macedonia; Faculty of Computer Science and Engineering; Ss. Cyril and Methodius University; Skopje; Macedonia";"2017 IEEE Global Engineering Education Conference (EDUCON)";"";"2017";"";"";"1274";"1281";"In this paper we present a successful example of implementation of project-based learning in e-Learning Systems course. Starting with an overview of the organization of the “e-Learning Systems” course held at the Faculty of Computer Science and Engineering (FCSE) in Skopje; we look into the importance of project-based learning as a learning method; the benefits of team work; and also we describe the purpose of educational games. The paper focuses on the general form of the project assigned to students which we describe in details; the organization of the lab exercises and the process of implementation of the projects. Based on the results that we will present; we may conclude that we have managed to organize the course in such a way that many of the students will achieve the course goals and pass; and also; will have exciting and challenging project to work on. We believe that the material in this paper will be valuable to other lecturers that teach similar or even quite different courses; and also facing the problem of teaching a course with high student/teacher ratio.";"2165-9567";"978-1-5090-5467-1";"10.1109/EDUCON.2017.7943012";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943012";"project-based learning;e-learning systems course;educational games development";"Games;Electronic learning;Computer science;Organizations;Learning systems;Production";"computer aided instruction;computer games;educational courses;project management;teaching;team working";"educational games creation;project based learning;e-Learning systems course;Faculty of Computer Science and Engineering;FCSE;Skopje;learning method;team work;lab exercises organization;teaching;student/teacher ratio";"";"1";"21";"";"";"";"";"IEEE";"IEEE Conferences"
"Industry-Oriented Project-Based Learning of Software Engineering";"M. Spichkova";"RMIT University";"2019 24th International Conference on Engineering of Complex Computer Systems (ICECCS)";"";"2019";"";"";"51";"60";"Teaching of Software Engineering is challenging; especially when dealing with large cohorts of students; as well as cohorts with the diversity in the students' backgrounds; workloads and availabilities for face-to-face study. Especially challenging it becomes when we aim not only to provide necessary theoretical knowledge; but also to improve students' employability by making the projects really industry-oriented. This paper presents our experience on the redesign of Software Engineering project course to meet the above challenges; the lessons learned and the feedback from the students. The course is provided for both Bachelor and Master students at their final year of study; so our goal is to make students work-ready and to provide opportunities for networking with local and global companies; as well as other university disciplines.";"";"978-1-7281-4646-1";"10.1109/ICECCS.2019.00013";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8882770";"Software Engineering;Collaborative Learning;Agility;Project-based Learning";"Task analysis;Software engineering;Industries;Software;Companies;Proposals;Mentoring";"computer aided instruction;computer science education;educational courses;software engineering;teaching";"teaching;software engineering project course;industry-oriented project-based learning";"";"";"42";"";"";"";"";"IEEE";"IEEE Conferences"
"Photovoltaic toy cars racing circuits as hands-on learning solar energy: Results from a Problem Based Learning (PBL) experience for undergraduates";"M. Fuentes; M. Vivar; A. López-Vargas; N. Pichel";"EPS Linares; Universidad de Jaén; Linares; 23700; Spain; EPS Linares; Universidad de Jaén; Linares; 23700; Spain; IMDEA Water Institute; Alcalá de Henares; 28805; Spain; IMDEA Water Institute; Alcalá de Henares; 28805; Spain";"2018 IEEE 7th World Conference on Photovoltaic Energy Conversion (WCPEC) (A Joint Conference of 45th IEEE PVSC; 28th PVSEC & 34th EU PVSEC)";"";"2018";"";"";"2473";"2475";"The Problem Based Learning (PBL) method was implemented for the hands-on learning of photovoltaic (PV) and electronics at the 'General Electronics' undergraduate core course within the BEng in Telecommunication Technologies and the BEng in Telematics. It consisted in the design of a racing circuit for miniature photovoltaic toy cars intended for kids. The students worked in groups of two and they had to build a racing circuit with low cost materials; including a minimum of two PV cars racing; traffic lights; a gate and a winning-car light signal; all solarpowered at 12 V. After manufacturing and testing; the projects were finally presented at a practical demonstration. This article presents the positive results of this experience.";"0160-8371";"978-1-5386-8529-7";"10.1109/PVSC.2018.8547338";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8547338";"Electronics engineering education;PBL;Electronic circuits;Photovoltaics";"Automobiles;Toy manufacturing industry;Photovoltaic systems;Logic gates;Plastics;Two dimensional displays";"computer aided instruction;educational courses;electronic engineering computing;electronic engineering education";"solar energy;hands-on learning;BEng;racing circuit;miniature photovoltaic toy cars;low cost materials;PV cars racing;winning-car light signal;PBL experience;PBL method;telecommunication technologies;General Electronics undergraduate core course";"";"";"3";"";"";"";"";"IEEE";"IEEE Conferences"
"Project Based Learning with Multi-agent Simulation in Liberal Arts Education";"M. Miura";"Dept. of Mech. & Aerosp. Eng.; Tottori Univ.; Tottori; Japan";"2015 3rd International Conference on Applied Computing and Information Technology/2nd International Conference on Computational Science and Intelligence";"";"2015";"";"";"242";"247";"Complexity science is a new field of science that help us to understand complex social phenomenon such as economies; traffics; wars; epidemics; mass actions; etc. On the other hand; multi-agents simulation (MAS) methods are useful and powerful tools for complex system science. They come to be applied to studies and analysis of complex systems along with the development of computers. It can be said that the perspectives of complex systems and the skills for MAS are very useful knowledge for students who should live and work in the complex modern society. Then the author tried to design and conduct an education program dealing with complex system science and MAS as liberal arts targeting at students from all faculties. It's a project-based learning program in which students investigated and discussed ""What is complex systems?"" and develop MAS. In general; it is difficult for students who haven't gained the any special knowledge of computing to build MAS. Then the author applied the generic multi-agent simulation platform ""artisoc"" to this program. With artisoc; students can build MAS easily. In this paper; the practical example of PBL program with artisoc and its result are introduced.";"";"978-1-4673-9642-4";"10.1109/ACIT-CSI.2015.51";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7336068";"Project Based Learning;Multi-Agent Simulation;Liberal Arts Education;Complex system science";"Complex systems;Complexity theory;Art;Tutorials;Graphical user interfaces;Computational modeling";"educational courses;multi-agent systems";"project based learning;liberal arts education;complexity science;MAS methods;complex system science;complex modern society;education program;project-based learning program;multiagent simulation platform;PBL program";"";"";"9";"";"";"";"";"IEEE";"IEEE Conferences"
"Meta-heuristic approaches to tackle Skill Based Group allocation of Students in Project Based Learning Courses";"R. Nand; A. Sharma";"School of Computing; Information and Mathematical Sciences; The University of the South Pacific; Suva; Fiji; School of Computing; Information and Mathematical Sciences; The University of the South Pacific; Suva; Fiji";"2019 IEEE Congress on Evolutionary Computation (CEC)";"";"2019";"";"";"1782";"1789";"In the arena of software engineering; Project Based Learning (PBL) is one of the fundamental components of practical based assessment. PBL involves team formation where necessary skills are needed to execute the project. Traditionally; the teams were randomly allocated based on individual preferences. To cab on this issue; preference based model needs few refinements such as skills needs to be identified by the facilitator while the students provide the necessary skill data. This way; students get assigned based on their skill rather than just random allocation. In a worst case scenario for random allocation; a team can end up with a very strong team having high skills or vice versa where a team has all of its members with limited skill or few skills are missing. The group created by skill preference would allow each group to more or less have the same strength and nearly all skills would be present in a group. In this paper; a method is extended from its original to cater for other state-of-the-art optimization techniques rather than just genetic algorithm to find a method that can suit small or large dataset. The objective function takes into account the differences between the total skill set of each group with the average total skill set needed for each group and the missing skill penalty of each group is added. Missing skill penalty is incurred due to not satisfying all the constraints such as non-presence of all the skills in a group. The skill rating allows better selection of members in a software engineering course. The results discussed in this paper are from 5 courses of one university.";"";"978-1-7281-2153-6";"10.1109/CEC.2019.8789987";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789987";"Project Based Learning;particle swarm optimization;genetic algorithm;skill based;invasive weed optimization;firefly algorithm";"Optimization;Resource management;Sociology;Statistics;Education;Mathematical model;Partitioning algorithms";"computer aided instruction;computer science education;educational courses;educational institutions;genetic algorithms;software engineering";"practical based assessment;preference based model;random allocation;skill preference;total skill set;missing skill penalty;skill rating;skill based group allocation;meta-heuristic approaches;project based learning courses;students;skill data;software engineering course;optimization technique;genetic algorithm;university";"";"";"29";"";"";"";"";"IEEE";"IEEE Conferences"
"Applying flipped classroom and problem-based learning in a CS1 course";"A. G. de Oliveira Fassbinder; T. G. Gonçalves Botelho; R. J. Martins; E. F. Barbosa";"Federal Institute of Education; Science and Technology; IFSULDEMINAS - Campus Muzambinho; Muzambinho; Minas Gerais; Brazil; Federal Institute of Education; Science and Technology; IFSULDEMINAS - Campus Muzambinho; Muzambinho; Minas Gerais; Brazil; Federal Institute of Education; Science and Technology; IFSULDEMINAS - Campus Muzambinho; Muzambinho; Minas Gerais; Brazil; Institute of Mathematics and Computer Science (ICMC); University of São Paulo (USP); São Carlos; São Paulo; Brazil";"2015 IEEE Frontiers in Education Conference (FIE)";"";"2015";"";"";"1";"7";"Teaching of programming foundations has been subject of several investigations; because it is believed that the required activities can contribute to the development of students more able to solve problems and to adapt to any environment or situation. Some works have argued about the integration of Flipped Classroom and Problem-Based Learning in Computer Science courses to potentiate this kind of teaching; but fewer evidences that investigate the real application between these approaches were found. Thus; in order to enhance the Flipped Classroom in-class activities; this paper reports an experience to implement and apply Flipped Classroom and Problem-Based Learning approaches for a CS1 course. Additional concepts of programming contests; group formation and learning styles were also used. In general; the main findings suggest that the Flipped Classroom model; if well-planned and carefully designed; can benefit students. However; these initial benefits are more related to student's motivation and social behavior than those associated with grades and the effective learning. Results also indicate that PBL may be an adequate approach to enhance the face-to-face time in the inverted classroom.";"";"978-1-4799-8454-1";"10.1109/FIE.2015.7344223";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344223";"Flipped Classroom;Problem-Based Learning;Programming Contests;CS1;Teaching Programming;Experimentation";"Education;Programming profession;Online services;Games;Problem-solving";"computer aided instruction;computer science education;educational courses;programming";"flipped classroom;problem-based learning;PBL;CS1 course;programming foundation teaching;computer science course";"";"1";"21";"";"";"";"";"IEEE";"IEEE Conferences"
"Assessing IOT Projects in University Education - A Framework for Problem-Based Learning";"H. Maenpaa; S. Varjonen; A. Hellas; S. Tarkoma; T. Mannisto";"Dept. of Comput. Sci.; Univ. of Helsinki; Helsinki; Finland; Dept. of Comput. Sci.; Univ. of Helsinki; Helsinki; Finland; Dept. of Comput. Sci.; Univ. of Helsinki; Helsinki; Finland; Dept. of Comput. Sci.; Univ. of Helsinki; Helsinki; Finland; Dept. of Comput. Sci.; Univ. of Helsinki; Helsinki; Finland";"2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track (ICSE-SEET)";"";"2017";"";"";"37";"46";"Internet of Things (IoT) provides a thematic umbrellathat allows educators to combine various theoretical aspectsof computer science with substantial problems in everydaylife. As such; building IoT device prototypes has been suggestedby many as a means for teaching computer science and softwareengineering. However; how assessment should be conducted inthese exploratory courses is often left vague; and thus; there isa need for applicable assessment methodologies. This article reports results from three years of action researchin teaching prototyping of Internet of Things devices in apractical; problem-based setting. We present an example courseoutline for arranging learning experiences in IoT prototyping andprovide a general assessment framework; along with recommendationsfor best practices for facilitating personalized learning insimilar contexts. The results highlight that a general evaluation criteria can becomposed; despite the versatile nature and varying complexity ofthe students' project outcomes. Also; we underline that students'learning can be evaluated in detail; despite large variationsin their prior knowledge of IoT technologies or new productdevelopment as they enter the classroom for the first time.";"";"978-1-5386-2671-9";"10.1109/ICSE-SEET.2017.6";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7964328";"Software engineering education;Computer science education;Internet of Things;Assessment";"Context;Education;Software engineering;Computer science;Buildings;Internet of Things;Data collection";"computer science education;educational courses;educational institutions;Internet of Things;software engineering;teaching";"IoT project assessment;university education;problem-based learning;computer science;IoT device prototypes;computer science teaching;software engineering teaching;exploratory courses;Internet of Things devices;learning experiences;general assessment framework;personalized learning;students project outcomes complexity;students learning;product development";"";"3";"35";"";"";"";"";"IEEE";"IEEE Conferences"
"Applying problem based learning approach on e-learning system in cloud";"S. Thamarai Selvi; D. Kaleel; V. Chinnaiah";"Department of Computer Technology; Anna University; MIT Campus; Chennai; Tamil Nadu; India; Department of Computer Technology; Anna University; MIT Campus; Chennai; Tamil Nadu; India; Department of Computer Technology; Anna University; MIT Campus; Chennai; Tamil Nadu; India";"2012 International Conference on Recent Trends in Information Technology";"";"2012";"";"";"244";"249";"In problem-based learning approach; students are divided into groups and they are provided with a realistic problem and also the list of technical skills needed to solve the problem. It is applied in the engineering course and usually done in face to face classroom learning. It lacks all the advantages of using the e-learning system. This paper provides a problem based learning environment for the students integrated with e-learning system by making use of cloud technology. This problem-based learning allows the student to actively concentrate in developing their knowledge by themselves; and thus solves many of deficits of traditional classroom learning where knowledge is provided by an instructor. Problem based learning can be applied on e-learning system to improve the problem solving skill of a student which helps to develop their soft skills. It helps the engineering graduates to engage in lifelong learning process. It also promotes problem solving; communications; and team-working skills. The use of cloud technology in e-learning system helps to achieve scalability; anywhere access; persistent storage; and efficient resource usage.";"";"978-1-4673-1601-9";"10.1109/ICRTIT.2012.6206814";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6206814";"e-learning;problem based learning;cloud computing";"Electronic learning;Cloud computing;Collaboration;Face;Learning systems;Databases";"cloud computing;computer aided instruction;educational courses;engineering education;problem solving";"problem based learning environment;e-learning system;cloud technology;realistic problem;technical skills;engineering course;face-to-face classroom learning;problem solving skill;lifelong learning process;team-working skills;communication skills;scalability;anywhere access;persistent storage;efficient resource usage;cloud computing";"";"4";"19";"";"";"";"";"IEEE";"IEEE Conferences"
